"id";"x";"y";"label";"color";"count"
"AT";2004;0,484027105517909;"AT";"lightblue";5
"FI";2005;0,353857041755131;"FI";"lightblue";5
"BE";2005;0,353857041755131;"BE";"lightblue";5
"DK";2007;0,249625561657514;"DK";"lightblue";5
"RU";2005;0,353857041755131;"RU";"lightblue";5
"HK";2004;0,484027105517909;"HK";"lightblue";5
"AU";2010;0,20096463022508;"AU";"lightblue";5
"FI";2013;0,119189511323004;"FI";"lightblue";5
"AU";2013;0,119189511323004;"AU";"lightblue";5
"AU";2017;0,108861310690181;"AU";"lightblue";5
"RU";2018;0,103734439834025;"RU";"lightblue";5
"AT";2021;0,170998632010944;"AT";"lightblue";5
"ES";2021;0,170998632010944;"ES";"lightblue";5
"RU";2004;0,484027105517909;"RU";"lightblue";5
"AU";2020;0,0851933889930141;"AU";"lightblue";5
"SE";2007;0,249625561657514;"SE";"lightorange";5
"TW";2004;0,484027105517909;"TW";"lightblue";5
"EL";2007;0,249625561657514;"EL";"lightblue";5
"BE";2004;0,484027105517909;"BE";"lightblue";5
"ES";2016;0,110864745011086;"ES";"lightblue";5
"DK";2012;0,095831336847149;"DK";"lightblue";4
"DK";2018;0,0829875518672199;"DK";"lightblue";4
"IT";2005;0,283085633404105;"IT";"lightblue";4
"RU";2019;0,073909830007391;"RU";"lightblue";4
"SA";2018;0,0829875518672199;"SA";"lightblue";4
"IL";2021;0,136798905608755;"IL";"grey";4
"ZA";2012;0,095831336847149;"ZA";"lightblue";4
"IE";2020;0,0681547111944113;"IE";"lightblue";4
"SG";2021;0,136798905608755;"SG";"lightblue";4
"TW";2005;0,283085633404105;"TW";"lightblue";4
"HK";2006;0,224592925322852;"HK";"lightblue";4
"IE";2014;0,0868055555555556;"IE";"lightblue";4
"AU";2008;0,19723865877712;"AU";"lightblue";4
"GB";2006;0,224592925322852;"GB";"lightblue";4
"IE";2006;0,224592925322852;"IE";"lightblue";4
"SG";2004;0,387221684414327;"SG";"lightblue";4
"BE";2009;0,173913043478261;"BE";"lightblue";4
"MY";2009;0,173913043478261;"MY";"lightblue";4
"RU";2010;0,160771704180064;"RU";"lightblue";4
"IL";2012;0,095831336847149;"IL";"grey";4
"NO";2013;0,0953516090584029;"NO";"lightblue";4
"DK";2014;0,0868055555555556;"DK";"lightblue";4
"NO";2017;0,0870890485521446;"NO";"lightblue";4
"IE";2018;0,0829875518672199;"IE";"lightblue";4
"AU";2018;0,0829875518672199;"AU";"lightblue";4
"ZA";2011;0,119189511323004;"ZA";"lightblue";4
"IE";2013;0,0953516090584029;"IE";"lightblue";4
"ZA";2015;0,0976085895558809;"ZA";"lightblue";4
"ES";2005;0,283085633404105;"ES";"lightblue";4
"TR";2016;0,0886917960088692;"TR";"lightblue";4
"PL";2019;0,073909830007391;"PL";"lightblue";4
"ES";2004;0,387221684414327;"ES";"lightblue";4
"IN";2005;0,283085633404105;"IN";"lightblue";4
"IN";2010;0,160771704180064;"IN";"lightblue";4
"TR";2017;0,0870890485521446;"TR";"lightblue";4
"TR";2020;0,0681547111944113;"TR";"lightblue";4
"IN";2020;0,0681547111944113;"IN";"lightblue";4
"IN";2021;0,136798905608755;"IN";"lightblue";4
"HK";2021;0,136798905608755;"HK";"lightblue";4
"AU";2007;0,199700449326011;"AU";"lightblue";4
"UA";2010;0,160771704180064;"UA";"lightblue";4
"ZA";2014;0,0868055555555556;"ZA";"lightblue";4
"MY";2011;0,0893921334922527;"MY";"lightblue";3
"FI";2021;0,102599179206566;"FI";"lightblue";3
"MY";2008;0,14792899408284;"MY";"lightblue";3
"NZ";2011;0,0893921334922527;"NZ";"lightblue";3
"IE";2019;0,0554323725055432;"IE";"lightblue";3
"ES";2006;0,168444693992139;"ES";"lightblue";3
"GB";2005;0,212314225053079;"GB";"lightblue";3
"NO";2005;0,212314225053079;"NO";"lightblue";3
"GB";2007;0,149775336994508;"GB";"lightblue";3
"IE";2010;0,120578778135048;"IE";"lightblue";3
"IE";2011;0,0893921334922527;"IE";"lightblue";3
"SE";2012;0,0718735026353618;"SE";"lightorange";3
"TR";2019;0,0554323725055432;"TR";"lightblue";3
"SE";2005;0,212314225053079;"SE";"lightorange";3
"MY";2010;0,120578778135048;"MY";"lightblue";3
"GB";2014;0,0651041666666667;"GB";"lightblue";3
"SA";2015;0,0732064421669107;"SA";"lightblue";3
"IN";2007;0,149775336994508;"IN";"lightblue";3
"AU";2004;0,290416263310745;"AU";"lightblue";3
"HU";2009;0,130434782608696;"HU";"lightblue";3
"LT";2009;0,130434782608696;"LT";"lightblue";3
"NZ";2013;0,0715137067938021;"NZ";"lightblue";3
"NZ";2016;0,0665188470066519;"NZ";"lightblue";3
"HU";2017;0,0653167864141084;"HU";"lightblue";3
"BE";2021;0,102599179206566;"BE";"lightblue";3
"PL";2018;0,0622406639004149;"PL";"lightblue";3
"NZ";2015;0,0732064421669107;"NZ";"lightblue";3
"DK";2016;0,0665188470066519;"DK";"lightblue";3
"HU";2020;0,0511160333958085;"HU";"lightblue";3
"NZ";2020;0,0511160333958085;"NZ";"lightblue";3
