"prio";"reg";"from";"to";"binary.pat";"binary.pub";"NEW.binary.pub"
"3D-printing/additive productie";"south-nl";"NL34";"IE06";NA;1;1
"3D-printing/additive productie";"south-nl";"NL34";"NL21";NA;1;1
"3D-printing/additive productie";"south-nl";"NL34";"NL22";NA;1;1
"3D-printing/additive productie";"south-nl";"NL34";"NL34";14;NA;NA
"3D-printing/additive productie";"south-nl";"NL34";"NL41";NA;1;1
"3D-printing/additive productie";"south-nl";"NL41";"BE21";NA;1;1
"3D-printing/additive productie";"south-nl";"NL41";"BE22";NA;2;2
"3D-printing/additive productie";"south-nl";"NL41";"BE23";NA;1;1
"3D-printing/additive productie";"south-nl";"NL41";"BE24";NA;3;3
"3D-printing/additive productie";"south-nl";"NL41";"BE32";NA;1;1
"3D-printing/additive productie";"south-nl";"NL41";"CH02";NA;1;1
"3D-printing/additive productie";"south-nl";"NL41";"CH04";NA;2;2
"3D-printing/additive productie";"south-nl";"NL41";"CH05";NA;1;1
"3D-printing/additive productie";"south-nl";"NL41";"DE21";NA;2;2
"3D-printing/additive productie";"south-nl";"NL41";"DE27";NA;2;2
"3D-printing/additive productie";"south-nl";"NL41";"DE30";NA;1;1
"3D-printing/additive productie";"south-nl";"NL41";"DE40";NA;3;3
"3D-printing/additive productie";"south-nl";"NL41";"DE71";4;NA;NA
"3D-printing/additive productie";"south-nl";"NL41";"DE91";NA;4;4
"3D-printing/additive productie";"south-nl";"NL41";"DE93";NA;4;4
"3D-printing/additive productie";"south-nl";"NL41";"DEA2";4;1;1
"3D-printing/additive productie";"south-nl";"NL41";"DEA3";4;NA;NA
"3D-printing/additive productie";"south-nl";"NL41";"DEA5";1;NA;NA
"3D-printing/additive productie";"south-nl";"NL41";"DEB3";NA;1;1
"3D-printing/additive productie";"south-nl";"NL41";"DED2";NA;3;3
"3D-printing/additive productie";"south-nl";"NL41";"DED4";NA;3;3
"3D-printing/additive productie";"south-nl";"NL41";"DK01";NA;3;3
"3D-printing/additive productie";"south-nl";"NL41";"EE00";NA;2;2
"3D-printing/additive productie";"south-nl";"NL41";"ES21";NA;5;5
"3D-printing/additive productie";"south-nl";"NL41";"ES22";NA;1;1
"3D-printing/additive productie";"south-nl";"NL41";"ES24";NA;1;1
"3D-printing/additive productie";"south-nl";"NL41";"ES30";NA;5;5
"3D-printing/additive productie";"south-nl";"NL41";"ES43";NA;5;5
"3D-printing/additive productie";"south-nl";"NL41";"ES51";NA;5;5
"3D-printing/additive productie";"south-nl";"NL41";"FR10";NA;6;6
"3D-printing/additive productie";"south-nl";"NL41";"FRB0";NA;5;5
"3D-printing/additive productie";"south-nl";"NL41";"FRE1";NA;1;1
"3D-printing/additive productie";"south-nl";"NL41";"FRF1";NA;4;4
"3D-printing/additive productie";"south-nl";"NL41";"FRF3";NA;2;2
"3D-printing/additive productie";"south-nl";"NL41";"FRG0";NA;4;4
"3D-printing/additive productie";"south-nl";"NL41";"FRH0";NA;4;4
"3D-printing/additive productie";"south-nl";"NL41";"FRI1";NA;4;4
"3D-printing/additive productie";"south-nl";"NL41";"FRJ2";NA;4;4
"3D-printing/additive productie";"south-nl";"NL41";"FRK1";NA;4;4
"3D-printing/additive productie";"south-nl";"NL41";"FRK2";NA;4;4
"3D-printing/additive productie";"south-nl";"NL41";"FRL0";NA;4;4
"3D-printing/additive productie";"south-nl";"NL41";"IE06";NA;1;1
"3D-printing/additive productie";"south-nl";"NL41";"ITC3";NA;1;1
"3D-printing/additive productie";"south-nl";"NL41";"ITC4";NA;3;3
"3D-printing/additive productie";"south-nl";"NL41";"ITF1";NA;2;2
"3D-printing/additive productie";"south-nl";"NL41";"ITF3";NA;1;1
"3D-printing/additive productie";"south-nl";"NL41";"ITG1";NA;2;2
"3D-printing/additive productie";"south-nl";"NL41";"ITI1";NA;3;3
"3D-printing/additive productie";"south-nl";"NL41";"ITI3";NA;2;2
"3D-printing/additive productie";"south-nl";"NL41";"ITI4";NA;2;2
"3D-printing/additive productie";"south-nl";"NL41";"NL21";1;29;29
"3D-printing/additive productie";"south-nl";"NL41";"NL22";7;33;33
"3D-printing/additive productie";"south-nl";"NL41";"NL31";2;12;12
"3D-printing/additive productie";"south-nl";"NL41";"NL32";3;10;10
"3D-printing/additive productie";"south-nl";"NL41";"NL33";6;9;9
"3D-printing/additive productie";"south-nl";"NL41";"NL34";NA;1;1
"3D-printing/additive productie";"south-nl";"NL41";"NL41";118;NA;NA
"3D-printing/additive productie";"south-nl";"NL41";"NL42";1;1;1
"3D-printing/additive productie";"south-nl";"NL41";"PT11";NA;4;4
