"from";"to";"prio";"reg";"binary.pat";"binary.pub"
"NL11";"CZ01";"NANO";"west-nl";NA;9
"NL11";"CZ01";"Nanotechnologie en fotonica - Nanotechnologies";"east-nl";NA;9
"NL11";"CZ01";"Nieuwe, duurzame en geavanceerde materialen - Composite materials";"east-nl";NA;2
"NL11";"CZ01";"Personalised/precision medicine";"south-nl";NA;1
"NL11";"CZ01";"Quantum";"west-nl";NA;1
"NL11";"CZ01";"Recyclage";"south-nl";NA;1
"NL11";"CZ01";"Regeneratieve geneeskunde";"west-nl";NA;1
"NL11";"CZ02";"Aerospace";"west-nl";NA;1
"NL11";"CZ02";"Artificial intelligence";"south-nl";NA;6
"NL11";"CZ02";"CO2 vrije elektriciteit";"west-nl";NA;2
"NL11";"CZ02";"Cybersecurity";"west-nl";NA;2
"NL11";"CZ02";"Data technology";"north-nl";NA;6
"NL11";"CZ02";"Digitale veiligheid";"south-nl";NA;2
"NL11";"CZ02";"Gepersonaliseerde gezondheidszorg & voeding";"east-nl";NA;1
"NL11";"CZ02";"Hernieuwbare energie - Composieten";"south-nl";NA;1
"NL11";"CZ02";"Hernieuwbare energie - Windturbines";"south-nl";NA;1
