"","to","from","domain","count","world_domain_total","from_domain_total","export_share","import_share","deviation","importer_total","import_share_2","parent","buyer_total","year","share","count_M","rca","color","id","value","period"
"85","United Kingdom","Ukraine","Aerospace",49426,117868099471,34593620,"0.0293 %","7e-04 %",-0.0287,49426,7e-04,"Europe",7350015565,2024,0.1429,"$49.43k",0.02,"#951E1E","United Kingdom",49426,2024
"86","United States","Ukraine","Aerospace",364647,117868099471,34593620,"0.0293 %","0.0017 %",-0.0276,364647,0.0017,"North America",21450284276,2024,1.0541,"$364.65k",0.06,"#9D3434","United States",364647,2024
"87","Uzbekistan","Ukraine","Aerospace",25791,117868099471,34593620,"0.0293 %","0.1128 %",0.0835,25791,0.1128,"Asia",22857192,2024,0.0746,"$25.79k",3.84,"#327E32","Uzbekistan",25791,2024
"88","Albania","Ukraine","AgriTech",1090,227801324580,84865833,"0.0373 %","0.0011 %",-0.0362,1090,0.0011,"Europe",99319981,2024,0.0013,"$1.09k",0.03,"#972525","Albania",1090,2024
"89","Algeria","Ukraine","AgriTech",65665,227801324580,84865833,"0.0373 %","0.0133 %",-0.0239,65665,0.0133,"Africa",492611202,2024,0.0774,"$65.67k",0.36,"#B67F7F","Algeria",65665,2024
"90","Argentina","Ukraine","AgriTech",167926,227801324580,84865833,"0.0373 %","0.0058 %",-0.0314,167926,0.0058,"South America",2891254594,2024,0.1979,"$167.93k",0.16,"#A85454","Argentina",167926,2024
"91","Armenia","Ukraine","AgriTech",1126422,227801324580,84865833,"0.0373 %","1.3835 %",1.3462,1126422,1.3835,"Asia",81418068,2024,1.3273,"$1.13M",37.14,"#006400","Armenia",1126422,2024
"92","Australia","Ukraine","AgriTech",33565,227801324580,84865833,"0.0373 %","5e-04 %",-0.0368,33565,5e-04,"Oceania",6895370425,2024,0.0396,"$33.56k",0.01,"#921515","Australia",33565,2024
"93","Austria","Ukraine","AgriTech",778111,227801324580,84865833,"0.0373 %","0.0406 %",0.0034,778111,0.0406,"Europe",1914790929,2024,0.9169,"$778.11k",1.09,"#AABEAA","Austria",778111,2024
"94","Azerbaijan","Ukraine","AgriTech",672656,227801324580,84865833,"0.0373 %","0.2865 %",0.2492,672656,0.2865,"Asia",234800343,2024,0.7926,"$672.66k",7.69,"#0C6B0C","Azerbaijan",672656,2024
"95","Bahrain","Ukraine","AgriTech",6807,227801324580,84865833,"0.0373 %","0.0298 %",-0.0074,6807,0.0298,"Asia",22814203,2024,0.008,"$6.81k",0.8,"#CBBDBD","Bahrain",6807,2024
"96","Bangladesh","Ukraine","AgriTech",44,227801324580,84865833,"0.0373 %","0 %",-0.0373,44,2.2058e-06,"Asia",1994761667,2024,1e-04,"$0.04k",0,"darkred","Bangladesh",44,2024
"97","Belgium","Ukraine","AgriTech",106668,227801324580,84865833,"0.0373 %","0.0031 %",-0.0341,106668,0.0031,"Europe",3425301672,2024,0.1257,"$106.67k",0.08,"#9F3C3C","Belgium",106668,2024
"98","Belize","Ukraine","AgriTech",4,227801324580,84865833,"0.0373 %","0 %",-0.0372,4,7.0298e-06,"North America",56900906,2024,4.7133e-06,"$0k",0,"darkred","Belize",4,2024
"99","Bolivia","Ukraine","AgriTech",87,227801324580,84865833,"0.0373 %","0 %",-0.0372,87,0,"South America",418814773,2024,1e-04,"$0.09k",0,"darkred","Bolivia",87,2024
"100","Bosnia and Herzegovina","Ukraine","AgriTech",335297,227801324580,84865833,"0.0373 %","0.1961 %",0.1589,335297,0.1961,"Europe",170945090,2024,0.3951,"$335.3k",5.26,"#207520","Bosnia and Herzegovina",335297,2024
"101","Brazil","Ukraine","AgriTech",52959,227801324580,84865833,"0.0373 %","3e-04 %",-0.037,52959,3e-04,"South America",20595801757,2024,0.0624,"$52.96k",0.01,"#921515","Brazil",52959,2024
"102","Bulgaria","Ukraine","AgriTech",2427479,227801324580,84865833,"0.0373 %","0.2627 %",0.2254,2427479,0.2627,"Europe",924170909,2024,2.8604,"$2.43M",7.05,"#116D11","Bulgaria",2427479,2024
"103","Burkina Faso","Ukraine","AgriTech",91388,227801324580,84865833,"0.0373 %","0.0682 %",0.0309,91388,0.0682,"Africa",134047643,2024,0.1077,"$91.39k",1.83,"#679A67","Burkina Faso",91388,2024
"104","Canada","Ukraine","AgriTech",1102431,227801324580,84865833,"0.0373 %","0.0123 %",-0.0249,1102431,0.0123,"North America",8938338025,2024,1.299,"$1.1M",0.33,"#B47979","Canada",1102431,2024
"105","Chile","Ukraine","AgriTech",4975,227801324580,84865833,"0.0373 %","3e-04 %",-0.0369,4975,3e-04,"South America",1477471019,2024,0.0059,"$4.97k",0.01,"#921515","Chile",4975,2024
"106","China","Ukraine","AgriTech",470659,227801324580,84865833,"0.0373 %","0.0053 %",-0.0319,470659,0.0053,"Asia",8833711860,2024,0.5546,"$470.66k",0.14,"#A64F4F","China",470659,2024
"107","Colombia","Ukraine","AgriTech",32650,227801324580,84865833,"0.0373 %","0.0019 %",-0.0353,32650,0.0019,"South America",1687551022,2024,0.0385,"$32.65k",0.05,"#9B2F2F","Colombia",32650,2024
"108","Costa Rica","Ukraine","AgriTech",118487,227801324580,84865833,"0.0373 %","0.0237 %",-0.0136,118487,0.0237,"North America",500247648,2024,0.1396,"$118.49k",0.64,"#C5A9A9","Costa Rica",118487,2024
"109","Croatia","Ukraine","AgriTech",773121,227801324580,84865833,"0.0373 %","0.1398 %",0.1025,773121,0.1398,"Europe",553150562,2024,0.911,"$773.12k",3.75,"#337F33","Croatia",773121,2024
"110","Cuba","Ukraine","AgriTech",279,227801324580,84865833,"0.0373 %","8e-04 %",-0.0365,279,8e-04,"North America",34917245,2024,3e-04,"$0.28k",0.02,"#951E1E","Cuba",279,2024
"111","Cyprus","Ukraine","AgriTech",50,227801324580,84865833,"0.0373 %","0 %",-0.0372,50,0,"Europe",134667905,2024,1e-04,"$0.05k",0,"darkred","Cyprus",50,2024
"112","Czechia","Ukraine","AgriTech",1461620,227801324580,84865833,"0.0373 %","0.0693 %",0.0321,1461620,0.0693,"Europe",2108340634,2024,1.7223,"$1.46M",1.86,"#659965","Czechia",1461620,2024
"113","Denmark","Ukraine","AgriTech",291929,227801324580,84865833,"0.0373 %","0.0193 %",-0.018,291929,0.0193,"Europe",1512447732,2024,0.344,"$291.93k",0.52,"#BF9898","Denmark",291929,2024
"114","Dominica","Ukraine","AgriTech",856,227801324580,84865833,"0.0373 %","0.0572 %",0.0199,856,0.0572,"North America",1496883,2024,0.001,"$0.86k",1.54,"#78A378","Dominica",856,2024
"115","Dominican Republic","Ukraine","AgriTech",11756,227801324580,84865833,"0.0373 %","0.003 %",-0.0342,11756,0.003,"North America",389253275,2024,0.0139,"$11.76k",0.08,"#9F3C3C","Dominican Republic",11756,2024
"116","DR Congo","Ukraine","AgriTech",22895,227801324580,84865833,"0.0373 %","0.0197 %",-0.0176,22895,0.0197,"Africa",116477770,2024,0.027,"$22.9k",0.53,"#BF9A9A","DR Congo",22895,2024
"117","Ecuador","Ukraine","AgriTech",87,227801324580,84865833,"0.0373 %","0 %",-0.0372,87,9.2275e-06,"South America",942829413,2024,1e-04,"$0.09k",0,"darkred","Ecuador",87,2024
"118","Egypt","Ukraine","AgriTech",351724,227801324580,84865833,"0.0373 %","0.0387 %",0.0014,351724,0.0387,"Africa",909826555,2024,0.4144,"$351.72k",1.04,"#B7C5B7","Egypt",351724,2024
"119","El Salvador","Ukraine","AgriTech",434,227801324580,84865833,"0.0373 %","2e-04 %",-0.037,434,2e-04,"North America",200643216,2024,5e-04,"$0.43k",0.01,"#921515","El Salvador",434,2024
