"","to","from","domain","count","world_domain_total","from_domain_total","export_share","import_share","deviation","importer_total","import_share_2","parent","buyer_total","year","share","count_M","rca","color","id","value","period"
"120","Equatorial Guinea","Ukraine","AgriTech",1201,227801324580,84865833,"0.0373 %","0.0394 %",0.0022,1201,0.0394,"Africa",3046522,2024,0.0014,"$1.2k",1.06,"#B1C1B1","Equatorial Guinea",1201,2024
"121","Estonia","Ukraine","AgriTech",671337,227801324580,84865833,"0.0373 %","0.2135 %",0.1762,671337,0.2135,"Europe",314497919,2024,0.7911,"$671.34k",5.73,"#1B721B","Estonia",671337,2024
"122","Finland","Ukraine","AgriTech",57901,227801324580,84865833,"0.0373 %","0.0086 %",-0.0287,57901,0.0086,"Europe",673876358,2024,0.0682,"$57.9k",0.23,"#AE6565","Finland",57901,2024
"123","France","Ukraine","AgriTech",1479876,227801324580,84865833,"0.0373 %","0.0155 %",-0.0217,1479876,0.0155,"Europe",9529668572,2024,1.7438,"$1.48M",0.42,"#BA8989","France",1479876,2024
"124","Georgia","Ukraine","AgriTech",1760155,227801324580,84865833,"0.0373 %","1.3883 %",1.351,1760155,1.3883,"Asia",126786378,2024,2.074,"$1.76M",37.27,"#006400","Georgia",1760155,2024
"125","Germany","Ukraine","AgriTech",4445124,227801324580,84865833,"0.0373 %","0.0449 %",0.0076,4445124,0.0449,"Europe",9903574441,2024,5.2378,"$4.45M",1.2,"#98B498","Germany",4445124,2024
"126","Ghana","Ukraine","AgriTech",1005,227801324580,84865833,"0.0373 %","2e-04 %",-0.037,1005,2e-04,"Africa",417635754,2024,0.0012,"$1k",0.01,"#921515","Ghana",1005,2024
"127","Greece","Ukraine","AgriTech",239370,227801324580,84865833,"0.0373 %","0.023 %",-0.0143,239370,0.023,"Europe",1042332667,2024,0.2821,"$239.37k",0.62,"#C4A6A6","Greece",239370,2024
"128","Guatemala","Ukraine","AgriTech",2295,227801324580,84865833,"0.0373 %","3e-04 %",-0.037,2295,3e-04,"North America",803199732,2024,0.0027,"$2.3k",0.01,"#921515","Guatemala",2295,2024
"129","Honduras","Ukraine","AgriTech",5489,227801324580,84865833,"0.0373 %","0.0013 %",-0.0359,5489,0.0013,"North America",418003484,2024,0.0065,"$5.49k",0.04,"#992A2A","Honduras",5489,2024
"130","Hong Kong","Ukraine","AgriTech",4800,227801324580,84865833,"0.0373 %","9e-04 %",-0.0363,4800,9e-04,"Asia",519962149,2024,0.0057,"$4.8k",0.02,"#951E1E","Hong Kong",4800,2024
"131","Hungary","Ukraine","AgriTech",5405125,227801324580,84865833,"0.0373 %","0.292 %",0.2548,5405125,0.292,"Europe",1850932851,2024,6.369,"$5.41M",7.84,"#0B6A0B","Hungary",5405125,2024
"132","Iceland","Ukraine","AgriTech",90,227801324580,84865833,"0.0373 %","1e-04 %",-0.0371,90,1e-04,"Europe",68084528,2024,1e-04,"$0.09k",0,"darkred","Iceland",90,2024
"133","India","Ukraine","AgriTech",926835,227801324580,84865833,"0.0373 %","0.0087 %",-0.0285,926835,0.0087,"Asia",10630199826,2024,1.0921,"$926.84k",0.23,"#AE6565","India",926835,2024
"134","Indonesia","Ukraine","AgriTech",1503,227801324580,84865833,"0.0373 %","1e-04 %",-0.0372,1503,1e-04,"Asia",2920582898,2024,0.0018,"$1.5k",0,"darkred","Indonesia",1503,2024
"135","Iraq","Ukraine","AgriTech",1400403,227801324580,84865833,"0.0373 %","0.2551 %",0.2178,1400403,0.2551,"Asia",548967853,2024,1.6501,"$1.4M",6.85,"#126E12","Iraq",1400403,2024
"136","Ireland","Ukraine","AgriTech",83187,227801324580,84865833,"0.0373 %","0.0072 %",-0.03,83187,0.0072,"Europe",1150245434,2024,0.098,"$83.19k",0.19,"#AA5C5C","Ireland",83187,2024
"137","Israel","Ukraine","AgriTech",15086,227801324580,84865833,"0.0373 %","0.0027 %",-0.0345,15086,0.0027,"Asia",554471075,2024,0.0178,"$15.09k",0.07,"#9E3838","Israel",15086,2024
"138","Italy","Ukraine","AgriTech",1680685,227801324580,84865833,"0.0373 %","0.0395 %",0.0023,1680685,0.0395,"Europe",4252968259,2024,1.9804,"$1.68M",1.06,"#B1C1B1","Italy",1680685,2024
"139","Ivory Coast","Ukraine","AgriTech",1251,227801324580,84865833,"0.0373 %","2e-04 %",-0.037,1251,2e-04,"Africa",582759635,2024,0.0015,"$1.25k",0.01,"#921515","Ivory Coast",1251,2024
"140","Japan","Ukraine","AgriTech",218397,227801324580,84865833,"0.0373 %","0.0067 %",-0.0305,218397,0.0067,"Asia",3254875871,2024,0.2573,"$218.4k",0.18,"#AA5A5A","Japan",218397,2024
"141","Kazakhstan","Ukraine","AgriTech",6974514,227801324580,84865833,"0.0373 %","0.7084 %",0.6711,6974514,0.7084,"Asia",984604980,2024,8.2183,"$6.97M",19.01,"#006400","Kazakhstan",6974514,2024
"142","Kenya","Ukraine","AgriTech",4743,227801324580,84865833,"0.0373 %","7e-04 %",-0.0366,4743,7e-04,"Africa",716377349,2024,0.0056,"$4.74k",0.02,"#951E1E","Kenya",4743,2024
"143","Kuwait","Ukraine","AgriTech",6010,227801324580,84865833,"0.0373 %","0.0068 %",-0.0305,6010,0.0068,"Asia",88718017,2024,0.0071,"$6.01k",0.18,"#AA5A5A","Kuwait",6010,2024
"144","Kyrgyzstan","Ukraine","AgriTech",254663,227801324580,84865833,"0.0373 %","0.0743 %",0.037,254663,0.0743,"Asia",342813825,2024,0.3001,"$254.66k",1.99,"#609660","Kyrgyzstan",254663,2024
"145","Latvia","Ukraine","AgriTech",466656,227801324580,84865833,"0.0373 %","0.075 %",0.0378,466656,0.075,"Europe",621839778,2024,0.5499,"$466.66k",2.01,"#5F965F","Latvia",466656,2024
"146","Lebanon","Ukraine","AgriTech",315677,227801324580,84865833,"0.0373 %","0.2504 %",0.2132,315677,0.2504,"Asia",126053061,2024,0.372,"$315.68k",6.72,"#136E13","Lebanon",315677,2024
"147","Liberia","Ukraine","AgriTech",24,227801324580,84865833,"0.0373 %","1e-04 %",-0.0372,24,1e-04,"Africa",32638702,2024,0,"$0.02k",0,"darkred","Liberia",24,2024
"148","Lithuania","Ukraine","AgriTech",2460087,227801324580,84865833,"0.0373 %","0.2466 %",0.2094,2460087,0.2466,"Europe",997527980,2024,2.8988,"$2.46M",6.62,"#146E14","Lithuania",2460087,2024
"149","Luxembourg","Ukraine","AgriTech",4696,227801324580,84865833,"0.0373 %","0.0025 %",-0.0347,4696,0.0025,"Europe",187468878,2024,0.0055,"$4.7k",0.07,"#9E3838","Luxembourg",4696,2024
"150","Malaysia","Ukraine","AgriTech",719939,227801324580,84865833,"0.0373 %","0.0361 %",-0.0011,719939,0.0361,"Asia",1992627715,2024,0.8483,"$719.94k",0.97,"#D2D0D0","Malaysia",719939,2024
"151","Maldives","Ukraine","AgriTech",825,227801324580,84865833,"0.0373 %","0.0075 %",-0.0298,825,0.0075,"Asia",11057309,2024,0.001,"$0.82k",0.2,"#AB5E5E","Maldives",825,2024
"152","Mali","Ukraine","AgriTech",350,227801324580,84865833,"0.0373 %","4e-04 %",-0.0369,350,4e-04,"Africa",93920610,2024,4e-04,"$0.35k",0.01,"#921515","Mali",350,2024
"153","Malta","Ukraine","AgriTech",307,227801324580,84865833,"0.0373 %","0.0012 %",-0.036,307,0.0012,"Europe",24921405,2024,4e-04,"$0.31k",0.03,"#972525","Malta",307,2024
"154","Marshall Islands","Ukraine","AgriTech",1051,227801324580,84865833,"0.0373 %","0.0311 %",-0.0061,1051,0.0311,"Oceania",3376914,2024,0.0012,"$1.05k",0.84,"#CDC1C1","Marshall Islands",1051,2024
"155","Mexico","Ukraine","AgriTech",731661,227801324580,84865833,"0.0373 %","0.0129 %",-0.0244,731661,0.0129,"North America",5689473009,2024,0.8621,"$731.66k",0.35,"#B67D7D","Mexico",731661,2024
"156","Moldova","Ukraine","AgriTech",12325639,227801324580,84865833,"0.0373 %","4.6946 %",4.6573,12325639,4.6946,"Europe",262551460,2024,14.5237,"$12.33M",126.01,"darkgreen","Moldova",12325639,2024
"157","Montenegro","Ukraine","AgriTech",1739,227801324580,84865833,"0.0373 %","0.0059 %",-0.0314,1739,0.0059,"Europe",29453118,2024,0.002,"$1.74k",0.16,"#A85454","Montenegro",1739,2024
"158","Morocco","Ukraine","AgriTech",79926,227801324580,84865833,"0.0373 %","0.0076 %",-0.0297,79926,0.0076,"Africa",1054037285,2024,0.0942,"$79.93k",0.2,"#AB5E5E","Morocco",79926,2024
"159","New Zealand","Ukraine","AgriTech",34288,227801324580,84865833,"0.0373 %","0.0036 %",-0.0337,34288,0.0036,"Oceania",959773654,2024,0.0404,"$34.29k",0.1,"#A24343","New Zealand",34288,2024
"160","Nigeria","Ukraine","AgriTech",186737,227801324580,84865833,"0.0373 %","0.0249 %",-0.0124,186737,0.0249,"Africa",750861923,2024,0.22,"$186.74k",0.67,"#C6ADAD","Nigeria",186737,2024
"161","North Macedonia","Ukraine","AgriTech",10594,227801324580,84865833,"0.0373 %","0.0105 %",-0.0268,10594,0.0105,"Europe",101245578,2024,0.0125,"$10.59k",0.28,"#B17070","North Macedonia",10594,2024
"162","Norway","Ukraine","AgriTech",54228,227801324580,84865833,"0.0373 %","0.0061 %",-0.0311,54228,0.0061,"Europe",887392436,2024,0.0639,"$54.23k",0.16,"#A85454","Norway",54228,2024
"163","Pakistan","Ukraine","AgriTech",922,227801324580,84865833,"0.0373 %","1e-04 %",-0.0372,922,1e-04,"Asia",1165165239,2024,0.0011,"$0.92k",0,"darkred","Pakistan",922,2024
"164","Palau","Ukraine","AgriTech",15,227801324580,84865833,"0.0373 %","0.0071 %",-0.0302,15,0.0071,"Oceania",212340,2024,0,"$0.01k",0.19,"#AA5C5C","Palau",15,2024
"165","Panama","Ukraine","AgriTech",1,227801324580,84865833,"0.0373 %","0 %",-0.0373,1,3.4417e-07,"North America",290557890,2024,1.1783e-06,"$0k",0,"darkred","Panama",1,2024
"166","Paraguay","Ukraine","AgriTech",2439,227801324580,84865833,"0.0373 %","2e-04 %",-0.0371,2439,2e-04,"South America",1359745839,2024,0.0029,"$2.44k",0,"darkred","Paraguay",2439,2024
"167","Peru","Ukraine","AgriTech",119497,227801324580,84865833,"0.0373 %","0.0088 %",-0.0284,119497,0.0088,"South America",1352886013,2024,0.1408,"$119.5k",0.24,"#AE6767","Peru",119497,2024
"168","Philippines","Ukraine","AgriTech",5207,227801324580,84865833,"0.0373 %","3e-04 %",-0.0369,5207,3e-04,"Asia",1531517087,2024,0.0061,"$5.21k",0.01,"#921515","Philippines",5207,2024
"169","Poland","Ukraine","AgriTech",7496215,227801324580,84865833,"0.0373 %","0.1452 %",0.1079,7496215,0.1452,"Europe",5164072026,2024,8.833,"$7.5M",3.9,"#317E31","Poland",7496215,2024
"170","Portugal","Ukraine","AgriTech",932,227801324580,84865833,"0.0373 %","1e-04 %",-0.0372,932,1e-04,"Europe",997542630,2024,0.0011,"$0.93k",0,"darkred","Portugal",932,2024
"171","Romania","Ukraine","AgriTech",10846427,227801324580,84865833,"0.0373 %","0.4559 %",0.4186,10846427,0.4559,"Europe",2379305718,2024,12.7807,"$10.85M",12.24,"#006400","Romania",10846427,2024
"172","Saudi Arabia","Ukraine","AgriTech",104676,227801324580,84865833,"0.0373 %","0.0125 %",-0.0248,104676,0.0125,"Asia",840194174,2024,0.1233,"$104.68k",0.33,"#B47979","Saudi Arabia",104676,2024
"173","Serbia","Ukraine","AgriTech",856407,227801324580,84865833,"0.0373 %","0.1298 %",0.0925,856407,0.1298,"Europe",660028488,2024,1.0091,"$856.41k",3.48,"#388138","Serbia",856407,2024
"174","Singapore","Ukraine","AgriTech",9647,227801324580,84865833,"0.0373 %","0.0011 %",-0.0361,9647,0.0011,"Asia",851410855,2024,0.0114,"$9.65k",0.03,"#972525","Singapore",9647,2024
"175","Slovakia","Ukraine","AgriTech",3650839,227801324580,84865833,"0.0373 %","0.4047 %",0.3675,3650839,0.4047,"Europe",902006424,2024,4.3019,"$3.65M",10.86,"#006400","Slovakia",3650839,2024
"176","Slovenia","Ukraine","AgriTech",248608,227801324580,84865833,"0.0373 %","0.0448 %",0.0076,248608,0.0448,"Europe",554549430,2024,0.2929,"$248.61k",1.2,"#98B498","Slovenia",248608,2024
"177","South Africa","Ukraine","AgriTech",84867,227801324580,84865833,"0.0373 %","0.0044 %",-0.0329,84867,0.0044,"Africa",1933507247,2024,0.1,"$84.87k",0.12,"#A44949","South Africa",84867,2024
"178","South Korea","Ukraine","AgriTech",740813,227801324580,84865833,"0.0373 %","0.0303 %",-0.007,740813,0.0303,"Asia",2447163043,2024,0.8729,"$740.81k",0.81,"#CCBEBE","South Korea",740813,2024
"179","Spain","Ukraine","AgriTech",476373,227801324580,84865833,"0.0373 %","0.0114 %",-0.0258,476373,0.0114,"Europe",4165851686,2024,0.5613,"$476.37k",0.31,"#B37575","Spain",476373,2024
"180","Sweden","Ukraine","AgriTech",109146,227801324580,84865833,"0.0373 %","0.0065 %",-0.0308,109146,0.0065,"Europe",1688978109,2024,0.1286,"$109.15k",0.17,"#A95757","Sweden",109146,2024
"181","Switzerland","Ukraine","AgriTech",736863,227801324580,84865833,"0.0373 %","0.0652 %",0.028,736863,0.0652,"Europe",1129384128,2024,0.8683,"$736.86k",1.75,"#6B9C6B","Switzerland",736863,2024
"182","Tajikistan","Ukraine","AgriTech",76307,227801324580,84865833,"0.0373 %","0.1018 %",0.0645,76307,0.1018,"Asia",74974794,2024,0.0899,"$76.31k",2.73,"#488A48","Tajikistan",76307,2024
"183","Thailand","Ukraine","AgriTech",1132,227801324580,84865833,"0.0373 %","0 %",-0.0372,1132,0,"Asia",4717495373,2024,0.0013,"$1.13k",0,"darkred","Thailand",1132,2024
"184","The Netherlands","Ukraine","AgriTech",1636559,227801324580,84865833,"0.0373 %","0.0391 %",0.0018,1636559,0.0391,"Europe",4190009383,2024,1.9284,"$1.64M",1.05,"#B4C3B4","The Netherlands",1636559,2024
"185","Togo","Ukraine","AgriTech",11981,227801324580,84865833,"0.0373 %","0.0089 %",-0.0284,11981,0.0089,"Africa",135169441,2024,0.0141,"$11.98k",0.24,"#AE6767","Togo",11981,2024
"186","Tunisia","Ukraine","AgriTech",673,227801324580,84865833,"0.0373 %","2e-04 %",-0.037,673,2e-04,"Africa",278352998,2024,8e-04,"$0.67k",0.01,"#921515","Tunisia",673,2024
"187","Turkiye","Ukraine","AgriTech",879244,227801324580,84865833,"0.0373 %","0.0245 %",-0.0127,879244,0.0245,"Asia",3584361375,2024,1.036,"$879.24k",0.66,"#C5ABAB","Turkiye",879244,2024
"188","Turkmenistan","Ukraine","AgriTech",21162,227801324580,84865833,"0.0373 %","0.0302 %",-0.007,21162,0.0302,"Asia",70043492,2024,0.0249,"$21.16k",0.81,"#CCBEBE","Turkmenistan",21162,2024
"189","Uganda","Ukraine","AgriTech",195019,227801324580,84865833,"0.0373 %","0.0772 %",0.0399,195019,0.0772,"Africa",252744083,2024,0.2298,"$195.02k",2.07,"#5C955C","Uganda",195019,2024
"190","United Arab Emirates","Ukraine","AgriTech",16296,227801324580,84865833,"0.0373 %","0.0021 %",-0.0351,16296,0.0021,"Asia",761274182,2024,0.0192,"$16.3k",0.06,"#9D3434","United Arab Emirates",16296,2024
"191","United Kingdom","Ukraine","AgriTech",905089,227801324580,84865833,"0.0373 %","0.0196 %",-0.0177,905089,0.0196,"Europe",4618758001,2024,1.0665,"$905.09k",0.53,"#BF9A9A","United Kingdom",905089,2024
"192","United States","Ukraine","AgriTech",1364009,227801324580,84865833,"0.0373 %","0.0055 %",-0.0317,1364009,0.0055,"North America",24716682507,2024,1.6073,"$1.36M",0.15,"#A75252","United States",1364009,2024
"193","Uruguay","Ukraine","AgriTech",36276,227801324580,84865833,"0.0373 %","0.0047 %",-0.0326,36276,0.0047,"South America",774647403,2024,0.0427,"$36.28k",0.13,"#A54C4C","Uruguay",36276,2024
"194","Uzbekistan","Ukraine","AgriTech",589440,227801324580,84865833,"0.0373 %","0.121 %",0.0837,589440,0.121,"Asia",487135084,2024,0.6946,"$589.44k",3.25,"#3C843C","Uzbekistan",589440,2024
"195","Vietnam","Ukraine","AgriTech",35000,227801324580,84865833,"0.0373 %","0.0014 %",-0.0359,35000,0.0014,"Asia",2584072976,2024,0.0412,"$35k",0.04,"#992A2A","Vietnam",35000,2024
"196","Zambia","Ukraine","AgriTech",62162,227801324580,84865833,"0.0373 %","0.0065 %",-0.0307,62162,0.0065,"Africa",950835996,2024,0.0732,"$62.16k",0.18,"#AA5A5A","Zambia",62162,2024
"197","Afghanistan","Ukraine","Automotive",40485,807302819324,113436411,"0.0141 %","0.0404 %",0.0264,40485,0.0404,"Asia",100126675,2024,0.0357,"$40.48k",2.88,"#448844","Afghanistan",40485,2024
"198","Albania","Ukraine","Automotive",10582,807302819324,113436411,"0.0141 %","0.0059 %",-0.0081,10582,0.0059,"Europe",178154638,2024,0.0093,"$10.58k",0.42,"#BA8989","Albania",10582,2024
"199","Angola","Ukraine","Automotive",185,807302819324,113436411,"0.0141 %","0 %",-0.014,185,0,"Africa",479522574,2024,2e-04,"$0.18k",0,"darkred","Angola",185,2024
"200","Argentina","Ukraine","Automotive",2229,807302819324,113436411,"0.0141 %","0 %",-0.014,2229,0,"South America",4787570534,2024,0.002,"$2.23k",0,"darkred","Argentina",2229,2024
"201","Armenia","Ukraine","Automotive",428913,807302819324,113436411,"0.0141 %","0.163 %",0.1489,428913,0.163,"Asia",263153890,2024,0.3781,"$428.91k",11.6,"#006400","Armenia",428913,2024
"202","Australia","Ukraine","Automotive",34943,807302819324,113436411,"0.0141 %","2e-04 %",-0.0138,34943,2e-04,"Oceania",15854490780,2024,0.0308,"$34.94k",0.02,"#951E1E","Australia",34943,2024
"203","Austria","Ukraine","Automotive",4058791,807302819324,113436411,"0.0141 %","0.0531 %",0.0391,4058791,0.0531,"Europe",7640863687,2024,3.578,"$4.06M",3.78,"#337F33","Austria",4058791,2024
"204","Azerbaijan","Ukraine","Automotive",181593,807302819324,113436411,"0.0141 %","0.0388 %",0.0248,181593,0.0388,"Asia",467529298,2024,0.1601,"$181.59k",2.76,"#478947","Azerbaijan",181593,2024
"205","Bahrain","Ukraine","Automotive",2383,807302819324,113436411,"0.0141 %","6e-04 %",-0.0134,2383,6e-04,"Asia",382816587,2024,0.0021,"$2.38k",0.04,"#992A2A","Bahrain",2383,2024
"206","Bangladesh","Ukraine","Automotive",4516,807302819324,113436411,"0.0141 %","5e-04 %",-0.0135,4516,5e-04,"Asia",882352467,2024,0.004,"$4.52k",0.04,"#992A2A","Bangladesh",4516,2024
"207","Barbados","Ukraine","Automotive",296,807302819324,113436411,"0.0141 %","3e-04 %",-0.0137,296,3e-04,"North America",92925985,2024,3e-04,"$0.3k",0.02,"#951E1E","Barbados",296,2024
"208","Belarus","Ukraine","Automotive",356,807302819324,113436411,"0.0141 %","0 %",-0.014,356,0,"Europe",727614384,2024,3e-04,"$0.36k",0,"darkred","Belarus",356,2024
"209","Belgium","Ukraine","Automotive",154877,807302819324,113436411,"0.0141 %","0.001 %",-0.013,154877,0.001,"Europe",15082211097,2024,0.1365,"$154.88k",0.07,"#9E3838","Belgium",154877,2024
"210","Benin","Ukraine","Automotive",6200,807302819324,113436411,"0.0141 %","0.007 %",-0.007,6200,0.007,"Africa",88127875,2024,0.0055,"$6.2k",0.5,"#BE9595","Benin",6200,2024
"211","Bolivia","Ukraine","Automotive",7271,807302819324,113436411,"0.0141 %","0.0023 %",-0.0118,7271,0.0023,"South America",323041328,2024,0.0064,"$7.27k",0.16,"#A85454","Bolivia",7271,2024
"212","Bosnia and Herzegovina","Ukraine","Automotive",139236,807302819324,113436411,"0.0141 %","0.0339 %",0.0198,139236,0.0339,"Europe",411243045,2024,0.1227,"$139.24k",2.41,"#518E51","Bosnia and Herzegovina",139236,2024
"213","Brazil","Ukraine","Automotive",18207,807302819324,113436411,"0.0141 %","1e-04 %",-0.0139,18207,1e-04,"South America",14500297747,2024,0.0161,"$18.21k",0.01,"#921515","Brazil",18207,2024
"214","Brunei","Ukraine","Automotive",4350,807302819324,113436411,"0.0141 %","0.0068 %",-0.0073,4350,0.0068,"Asia",64420643,2024,0.0038,"$4.35k",0.48,"#BD9292","Brunei",4350,2024
"215","Bulgaria","Ukraine","Automotive",2176922,807302819324,113436411,"0.0141 %","0.1988 %",0.1847,2176922,0.1988,"Europe",1095077304,2024,1.9191,"$2.18M",14.15,"#006400","Bulgaria",2176922,2024
"216","Burkina Faso","Ukraine","Automotive",1141,807302819324,113436411,"0.0141 %","8e-04 %",-0.0133,1141,8e-04,"Africa",149005625,2024,0.001,"$1.14k",0.05,"#9B2F2F","Burkina Faso",1141,2024
"217","Cambodia","Ukraine","Automotive",23,807302819324,113436411,"0.0141 %","0 %",-0.014,23,3.7439e-06,"Asia",614326526,2024,0,"$0.02k",0,"darkred","Cambodia",23,2024
"218","Canada","Ukraine","Automotive",181022,807302819324,113436411,"0.0141 %","4e-04 %",-0.0136,181022,4e-04,"North America",41619717951,2024,0.1596,"$181.02k",0.03,"#972525","Canada",181022,2024
"219","Chad","Ukraine","Automotive",3096,807302819324,113436411,"0.0141 %","0.0082 %",-0.0059,3096,0.0082,"Africa",37927370,2024,0.0027,"$3.1k",0.58,"#C2A1A1","Chad",3096,2024
"220","Chile","Ukraine","Automotive",48841,807302819324,113436411,"0.0141 %","0.0012 %",-0.0128,48841,0.0012,"South America",4004561882,2024,0.0431,"$48.84k",0.09,"#A13F3F","Chile",48841,2024
"221","China","Ukraine","Automotive",112017,807302819324,113436411,"0.0141 %","5e-04 %",-0.0135,112017,5e-04,"Asia",20611615596,2024,0.0987,"$112.02k",0.04,"#992A2A","China",112017,2024
"222","Colombia","Ukraine","Automotive",6201,807302819324,113436411,"0.0141 %","4e-04 %",-0.0136,6201,4e-04,"South America",1516265868,2024,0.0055,"$6.2k",0.03,"#972525","Colombia",6201,2024
"223","Costa Rica","Ukraine","Automotive",112,807302819324,113436411,"0.0141 %","0 %",-0.014,112,0,"North America",694159732,2024,1e-04,"$0.11k",0,"darkred","Costa Rica",112,2024
"224","Croatia","Ukraine","Automotive",21145,807302819324,113436411,"0.0141 %","0.0019 %",-0.0121,21145,0.0019,"Europe",1089514092,2024,0.0186,"$21.14k",0.14,"#A64F4F","Croatia",21145,2024
"225","Cuba","Ukraine","Automotive",220402,807302819324,113436411,"0.0141 %","0.2881 %",0.2741,220402,0.2881,"North America",76499735,2024,0.1943,"$220.4k",20.5,"#006400","Cuba",220402,2024
"226","Cyprus","Ukraine","Automotive",2338,807302819324,113436411,"0.0141 %","2e-04 %",-0.0139,2338,2e-04,"Europe",1164030653,2024,0.0021,"$2.34k",0.01,"#921515","Cyprus",2338,2024
"227","Czechia","Ukraine","Automotive",10906927,807302819324,113436411,"0.0141 %","0.075 %",0.061,10906927,0.075,"Europe",14541094038,2024,9.615,"$10.91M",5.34,"#1F741F","Czechia",10906927,2024
"228","Denmark","Ukraine","Automotive",6227652,807302819324,113436411,"0.0141 %","0.1058 %",0.0917,6227652,0.1058,"Europe",5887413797,2024,5.49,"$6.23M",7.53,"#0D6B0D","Denmark",6227652,2024
"229","Dominican Republic","Ukraine","Automotive",552,807302819324,113436411,"0.0141 %","1e-04 %",-0.014,552,1e-04,"North America",970189732,2024,5e-04,"$0.55k",0,"darkred","Dominican Republic",552,2024
"230","Ecuador","Ukraine","Automotive",957,807302819324,113436411,"0.0141 %","1e-04 %",-0.0139,957,1e-04,"South America",866190972,2024,8e-04,"$0.96k",0.01,"#921515","Ecuador",957,2024
"231","Egypt","Ukraine","Automotive",119210,807302819324,113436411,"0.0141 %","0.0074 %",-0.0067,119210,0.0074,"Africa",1613124085,2024,0.1051,"$119.21k",0.53,"#BF9A9A","Egypt",119210,2024
"232","El Salvador","Ukraine","Automotive",52481,807302819324,113436411,"0.0141 %","0.0087 %",-0.0053,52481,0.0087,"North America",601887397,2024,0.0463,"$52.48k",0.62,"#C4A6A6","El Salvador",52481,2024
"233","Estonia","Ukraine","Automotive",112374,807302819324,113436411,"0.0141 %","0.0146 %",6e-04,112374,0.0146,"Europe",769470014,2024,0.0991,"$112.37k",1.04,"#B7C5B7","Estonia",112374,2024
"234","Fiji","Ukraine","Automotive",2787,807302819324,113436411,"0.0141 %","0.0024 %",-0.0116,2787,0.0024,"Oceania",113977689,2024,0.0025,"$2.79k",0.17,"#A95757","Fiji",2787,2024
"235","Finland","Ukraine","Automotive",354277,807302819324,113436411,"0.0141 %","0.0135 %",-6e-04,354277,0.0135,"Europe",2624534177,2024,0.3123,"$354.28k",0.96,"#D2CFCF","Finland",354277,2024
"236","France","Ukraine","Automotive",3230275,807302819324,113436411,"0.0141 %","0.0102 %",-0.0038,3230275,0.0102,"Europe",31581638194,2024,2.8477,"$3.23M",0.73,"#C9B4B4","France",3230275,2024
"237","Georgia","Ukraine","Automotive",272307,807302819324,113436411,"0.0141 %","0.0523 %",0.0383,272307,0.0523,"Asia",520316203,2024,0.2401,"$272.31k",3.72,"#347F34","Georgia",272307,2024
"238","Germany","Ukraine","Automotive",7333975,807302819324,113436411,"0.0141 %","0.0108 %",-0.0033,7333975,0.0108,"Europe",68031509844,2024,6.4653,"$7.33M",0.77,"#CAB9B9","Germany",7333975,2024
"239","Ghana","Ukraine","Automotive",2820,807302819324,113436411,"0.0141 %","3e-04 %",-0.0137,2820,3e-04,"Africa",863875038,2024,0.0025,"$2.82k",0.02,"#951E1E","Ghana",2820,2024
"240","Greece","Ukraine","Automotive",1275962,807302819324,113436411,"0.0141 %","0.0518 %",0.0377,1275962,0.0518,"Europe",2463233081,2024,1.1248,"$1.28M",3.69,"#347F34","Greece",1275962,2024
"241","Guatemala","Ukraine","Automotive",4651,807302819324,113436411,"0.0141 %","4e-04 %",-0.0137,4651,4e-04,"North America",1297705999,2024,0.0041,"$4.65k",0.03,"#972525","Guatemala",4651,2024
"242","Guyana","Ukraine","Automotive",40779,807302819324,113436411,"0.0141 %","0.0138 %",-3e-04,40779,0.0138,"South America",295735599,2024,0.0359,"$40.78k",0.98,"#D2D1D1","Guyana",40779,2024
