Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Equity Only Funding,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Funding Status,Number of Funding Rounds,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - UDEER.AI,https://www.crunchbase.com/funding_round/udeer-ai-seed--e862445b,UDEER.AI,https://www.crunchbase.com/organization/udeer-ai,Seed,100000000,CNY,14070684,2024-05-31,Seed,Yes,,,,UDEER.AI is a robotics company that focuses on embodied intelligence technology and provides development of universal brains for robots.,"Manufacturing, Robotic Process Automation (RPA), Robotics",,"Hangzhou, Zhejiang, China, Asia",https://udeer.ai,,Seed,1,100000000,CNY,14070684,,"Baidu Ventures, Sinovation Ventures, Vision Plus Capital",3,,"10,048"
Series A - Xunjie Guangyuan,https://www.crunchbase.com/funding_round/xunjie-guangyuan-series-a--bda3ccfd,Xunjie Guangyuan,https://www.crunchbase.com/organization/xunjie-guangyuan,Series A,100000000,CNY,13810438,2024-05-01,Early Stage Venture,Yes,,,,Xunjie Guangyuan operates engages in the research and development of near-infrared spectroscopy analysis instruments.,Intelligent Systems,,"Wuxi Shi, Jiangsu, China, Asia",https://www.nir-ias.com/,,Early Stage Venture,1,100000000,CNY,13810438,Fortune Venture Capital,"Fortune Venture Capital, Genesis Capital, Xianting Fund",3,,"10,075"
Seed Round - Markopolo ai,https://www.crunchbase.com/funding_round/markopolo-seed--5d73effd,Markopolo ai,https://www.crunchbase.com/organization/markopolo,Seed,100000,USD,100000,2023-04-26,Seed,Yes,2800000,USD,2800000,An AI Co-pilot that allows CMOs tailor individual journeys for every customer based on their previous behavior and preferences.,"Artificial Intelligence (AI), Generative AI, Machine Learning, SaaS",,"Sheridan, Wyoming, United States, North America",https://markopolo.ai/,$1M to $10M,Seed,5,3500000,USD,3500000,Startup Bangladesh,"BANSEA, Dhawal Shah, Khor Chieh Suang, Osman Ahmed, Playthink Pvt Limited, Razy Shah, Shaheen Siam, Startup Bangladesh",8,1,"10,313"
Funding Round - Crabi,https://www.crunchbase.com/funding_round/crabi-autoseguros-undisclosed--d599a337,Crabi,https://www.crunchbase.com/organization/crabi-autoseguros,Funding Round,4600000,USD,4600000,2022-12-01,,Yes,,,,"Full stack, digital car insurance","Auto Insurance, Insurance, InsurTech",,"Mexico City, Distrito Federal, Mexico, North America",https://www.crabi.com,$1M to $10M,,3,12900000,USD,12900000,,"500 Global, A.Partners, Azuro Capital, Carao Ventures, Honeystone Ventures, Polígono Capital, Redwood Ventures, Tuesday Capital",8,,"10,421"
Series A - Shansi Kaiwu,https://www.crunchbase.com/funding_round/shansi-kaiwu-series-a--359846fd,Shansi Kaiwu,https://www.crunchbase.com/organization/shansi-kaiwu,Series A,50000000,CNY,6890595,2024-06-17,Early Stage Venture,Yes,,,,Shansi Kaiwu offers both heterogeneous computing power and high-performance computing solutions.,"Artificial Intelligence (AI), Cloud Computing, Manufacturing",,"Chengdu, Sichuan, China, Asia",https://www.hpc.asia,,Early Stage Venture,1,50000000,CNY,6890595,Turgent,Turgent,1,,"10,837"
Grant - Black Semiconductor,https://www.crunchbase.com/funding_round/black-semiconductor-grant--7d7e4bc5,Black Semiconductor,https://www.crunchbase.com/organization/black-semiconductor,Grant,228700000,EUR,245674380,2024-06-12,,No,,,,Black Semiconductor manufacture microchips with integrated electronic-photonic circuits using graphene technology.,"Artificial Intelligence (AI), Electronics, Manufacturing, Semiconductor",,"Aachen, Nordrhein-Westfalen, Germany, Europe",https://blacksemiconductor.de,,Early Stage Venture,4,254400000,EUR,273281864,Federal Government of Germany,Federal Government of Germany,1,,"11,139"
Seed Round - Markopolo ai,https://www.crunchbase.com/funding_round/markopolo-seed--f3fbb288,Markopolo ai,https://www.crunchbase.com/organization/markopolo,Seed,3060000,USD,3060000,2024-05-15,Seed,Yes,15000000,USD,15000000,An AI Co-pilot that allows CMOs tailor individual journeys for every customer based on their previous behavior and preferences.,"Artificial Intelligence (AI), Generative AI, Machine Learning, SaaS",,"Sheridan, Wyoming, United States, North America",https://markopolo.ai/,$1M to $10M,Seed,5,3500000,USD,3500000,SBK,"Abdulla Abdul Rahman Al Sayed Ahmad Al Hashmi, Joa Capital, SBK, Team Ignite Ventures",4,,"12,202"
Series A - ClickPost,https://www.crunchbase.com/funding_round/clickpost-3c8c-series-a--7b9afe34,ClickPost,https://www.crunchbase.com/organization/clickpost-3c8c,Series A,6000000,USD,6000000,2024-04-16,Early Stage Venture,Yes,,,,ClickPost is a logistics intelligence platform that helps companies use data science to improve supply chain performance.,"Enterprise Software, Logistics, Machine Learning, SaaS, Software",,"New Delhi, Delhi, India, Asia",https://www.clickpost.in/,$1M to $10M,Early Stage Venture,2,6000000,USD,6000000,"Athera Venture Partners, Inflexor Ventures","Athera Venture Partners, Inflexor Ventures, Rebright Partners, Riverwalk Holdings",4,2,"12,251"
Pre Seed Round - Komment,https://www.crunchbase.com/funding_round/komment-pre-seed--5786bdb2,Komment,https://www.crunchbase.com/organization/komment,Pre-Seed,1500000,USD,1500000,2023-09-01,Seed,Yes,,,,Komment documents enterprise code automatically so teams can shift their focus back to building and innovating.,"Artificial Intelligence (AI), Developer Tools, DevOps, Enterprise Software, SaaS",,"Munich, Bayern, Germany, Europe",https://www.komment.ai/,,Seed,1,1500000,USD,1500000,,"Alumni Ventures, Craft Ventures, Pukar C. Hamal, Target Global",4,3,"12,384"
Series G - Snowflake,https://www.crunchbase.com/funding_round/snowflake-computing-series-g--384de7ea,Snowflake,https://www.crunchbase.com/organization/snowflake-computing,Series G,479000000,USD,479000000,2020-02-07,Late Stage Venture,Yes,11921000000,USD,11921000000,Snowflake is a cloud data platform that provides a data warehouse-as-a-service designed for the cloud.,"Analytics, Artificial Intelligence (AI), Cloud Data Services, Data Management, Enterprise Software, Software",,"San Mateo, California, United States, North America",https://www.snowflake.com,$1B to $10B,IPO,9,2029355548,USD,2029355548,"Dragoneer Investment Group, Global Secure Invest, Salesforce Ventures","Dragoneer Investment Group, Employee Stock Option Fund, Global Secure Invest, ICONIQ Growth, Meritech Capital Partners, Salesforce Ventures, Tiger Global Management",7,1,"12,416"
Venture Round - Butter Payments,https://www.crunchbase.com/funding_round/butter-6f77-series-unknown--2292ed97,Butter Payments,https://www.crunchbase.com/organization/butter-6f77,Venture - Series Unknown,10000000,USD,10000000,2024-05-13,,Yes,,,,Butter provides a payments intelligence platform for resolving payment failures.,"Artificial Intelligence (AI), Finance, FinTech, Machine Learning, Payments, Real Time",,"San Francisco, California, United States, North America",https://www.butterpayments.com,$1M to $10M,,5,38750000,USD,38750000,"Atomic, Norwest Venture Partners","Atomic, Norwest Venture Partners",2,1,"12,759"
Post-IPO Debt - Xiaoi Robot,https://www.crunchbase.com/funding_round/xiaoi-robert-post-ipo-debt--c26eff0f,Xiaoi Robot,https://www.crunchbase.com/organization/xiaoi-robert,Post-IPO Debt,3260869,USD,3260869,2024-06-17,,No,,,,Xiaoi Robot is an intelligent robot technology provider and platform operator.,"Artificial Intelligence (AI), Automotive, Robotics",,"Shanghai, Shanghai, China, Asia",http://www.xiaoi.com,$10M to $50M,IPO,7,33539362,USD,33539362,,,,,"12,949"
Pre Seed Round - Olio Labs,https://www.crunchbase.com/funding_round/olio-labs-pre-seed--b9cf0609,Olio Labs,https://www.crunchbase.com/organization/olio-labs,Pre-Seed,4200000,USD,4200000,2023-08-01,Seed,Yes,,,,"Olio Labs utilizes AI for combo therapeutics, optimizing and minimizing side effects through automated discovery of protein interactions.","Artificial Intelligence (AI), Biopharma, Biotechnology, Machine Learning, Therapeutics",,"California City, California, United States, North America",https://oliolabs.co/,,Seed,1,4200000,USD,4200000,,"Pioneer Fund, Unpopular Ventures, Y Combinator, ZAKA VC",4,1,"13,027"
Seed Round - Verax AI,https://www.crunchbase.com/funding_round/verax-ai-seed--8b3795f1,Verax AI,https://www.crunchbase.com/organization/verax-ai,Seed,7000000,USD,7000000,2024-04-18,Seed,Yes,,,,Provides enterprise-grade trust solutions for Generative AI,"DevOps, Enterprise Software, Generative AI",,"London, England, United Kingdom, Europe",https://www.verax.ai/,,Seed,1,7000000,USD,7000000,TQ Ventures,"Cardumen Capital, Concept Ventures, InMotion Ventures, Seedcamp, TQ Ventures",5,,"13,641"
Pre Seed Round - Anon,https://www.crunchbase.com/funding_round/anon-df99-pre-seed--bd27f287,Anon,https://www.crunchbase.com/organization/anon-df99,Pre-Seed,2000000,USD,2000000,2024-04-24,Seed,Yes,8000000,USD,8000000,The Integration Platform for the Internet. Empowering AI developers to build user-permissioned integrations for sites without APIs.,"Developer Platform, Generative AI, Identity Management, Software",,"San Francisco, California, United States, North America",https://www.anon.com,$1M to $10M,Seed,2,6500000,USD,6500000,"Ex/Ante, Impatient Ventures","BlockTower Capital, Ex/Ante, Impatient Ventures, Spice Capital",4,,"13,664"
Seed Round - Black Ore Technologies,https://www.crunchbase.com/funding_round/black-ore-technologies-seed--a5b41d6b,Black Ore Technologies,https://www.crunchbase.com/organization/black-ore-technologies,Seed,60000000,USD,60000000,2023-11-07,Seed,Yes,,,,Black Ore Technologies is an AI-driven financial services company.,"Artificial Intelligence (AI), Finance, Information Technology, Software",,"Austin, Texas, United States, North America",https://www.blackore.ai,,Seed,1,60000000,USD,60000000,"Andreessen Horowitz, Oak HC/FT","Andreessen Horowitz, Founders Fund, General Catalyst, Gokul Rajaram, Jason Gardner, Khosla Ventures, LionBird, Mark Britto, Max Levchin, Oak HC/FT, SciFi VC, SV Angel, Thomas Glocer, Trust Ventures, Vikram Pandit",15,,"13,730"
Seed Round - Ayna,https://www.crunchbase.com/funding_round/ayna-62c3-seed--431f1b27,Ayna,https://www.crunchbase.com/organization/ayna-62c3,Seed,1500000,USD,1500000,2024-02-19,Seed,Yes,,,,GenAI based apparel cataloguing,"Fashion, Generative AI, SaaS",,"Bangalore, Karnataka, India, Asia",https://getayna.com,,Seed,1,1500000,USD,1500000,Inflexor Ventures,Inflexor Ventures,1,1,"14,067"
Venture Round - Passion Intelligence,https://www.crunchbase.com/funding_round/passion-intelligence-series-unknown--5057f790,Passion Intelligence,https://www.crunchbase.com/organization/passion-intelligence,Venture - Series Unknown,100000000,CNY,13826478,2024-04-10,,Yes,,,,"Passion Intelligence is a provider of automated overall solutions and services for warehousing, logistics, and manufacturing processes.","Electronics, Industrial Automation, Intelligent Systems, Machinery Manufacturing, Manufacturing",,"Suzhou, Jiangsu, China, Asia",http://www.passioniot.com/,,,3,100000000,CNY,13826478,,"Anhui State-owned Capital, Chuanggu Capital",2,1,"14,261"
Series A - SmartD Technologies,https://www.crunchbase.com/funding_round/smartd-technologies-series-a--10295e85,SmartD Technologies,https://www.crunchbase.com/organization/smartd-technologies,Series A,14200000,CAD,10373671,2024-04-11,Early Stage Venture,Yes,,,,SmartD Technologies develops efficient power distribution solutions using solid-state technology and sensor-driven motor control products.,"Electrical Distribution, Intelligent Systems, Sensor",,"Montréal, Quebec, Canada, North America",https://smartd.tech/,$1M to $10M,Early Stage Venture,2,14200000,CAD,10373671,Investissement Quebec,"Boreal Ventures, Hammond Power Solutions, Investissement Quebec, SE Ventures",4,2,"14,436"
Series A - Wuwen Xinqiong,https://www.crunchbase.com/funding_round/wuwen-xinqiong-series-a--f3397a7a,Wuwen Xinqiong,https://www.crunchbase.com/organization/wuwen-xinqiong,Series A,,,,2023-12-05,Early Stage Venture,Yes,,,,Wuwen Core Dome is dedicated to providing AGI computing power solutions based on its large model energy efficiency optimization tools.,"Artificial Intelligence (AI), Cloud Computing, Electronics",,"Beijing, Beijing, China, Asia",https://www.infini-ai.com/,,,3,450000000,CNY,62017641,,"Baidu, Northern Light Venture Capital, Qiming Venture Partners, Qingdao Tongge Venture Capital Fund, Sequoia Capital China, Tencent, Xuhui Venture Capital, ZhenFund, Zhipu AI",9,1,"14,471"
Initial Coin Offering - Harambe AI,https://www.crunchbase.com/funding_round/harambe-ai-initial-coin-offering--f1ddf638,Harambe AI,https://www.crunchbase.com/organization/harambe-ai,Initial Coin Offering,8000000,USD,8000000,2024-06-24,,Yes,,,,Harambe is a hedge fund system that runs solely on artificial intelligence and is designed to outwit even the most savvy traders.,"Artificial Intelligence (AI), Financial Services",,"London, England, United Kingdom, Europe",https://harambetoken.ai,,,1,8000000,USD,8000000,,,,,"15,573"
Series A - BlueFlame AI,https://www.crunchbase.com/funding_round/blueflame-ai-series-a--af341858,BlueFlame AI,https://www.crunchbase.com/organization/blueflame-ai,Series A,5000000,USD,5000000,2024-06-25,Early Stage Venture,Yes,45000000,USD,45000000,BlueFlame AI is an artificial intelligence for alternative investment managers.,"Artificial Intelligence (AI), Financial Services, Software",,"London, England, United Kingdom, Europe",https://www.blueflame.ai,,Early Stage Venture,1,5000000,USD,5000000,,,,,"15,609"
Post-IPO Equity - Xiaoi Robot,https://www.crunchbase.com/funding_round/xiaoi-robert-post-ipo-equity--1079331b,Xiaoi Robot,https://www.crunchbase.com/organization/xiaoi-robert,Post-IPO Equity,2994945,USD,2994945,2024-06-17,,Yes,,,,Xiaoi Robot is an intelligent robot technology provider and platform operator.,"Artificial Intelligence (AI), Automotive, Robotics",,"Shanghai, Shanghai, China, Asia",http://www.xiaoi.com,$10M to $50M,IPO,7,33539362,USD,33539362,,,,,"15,851"
Seed Round - Vosyn,https://www.crunchbase.com/funding_round/vosyn-seed--ff0b1bf8,Vosyn,https://www.crunchbase.com/organization/vosyn,Seed,8000000,USD,8000000,2024-06-17,Seed,Yes,,,,Vosyn focuses on AI and voice technology to enhance communication and accessibility in the insurance sector.,"Artificial Intelligence (AI), Software",,"Etobicoke, Ontario, Canada, North America",https://vosyn.ai,,Seed,2,9510077,USD,9510077,,,,,"15,910"
Pre Seed Round - Vosyn,https://www.crunchbase.com/funding_round/vosyn-pre-seed--93aa57d8,Vosyn,https://www.crunchbase.com/organization/vosyn,Pre-Seed,2000000,CAD,1510077,2024-01-01,Seed,Yes,,,,Vosyn focuses on AI and voice technology to enhance communication and accessibility in the insurance sector.,"Artificial Intelligence (AI), Software",,"Etobicoke, Ontario, Canada, North America",https://vosyn.ai,,Seed,2,9510077,USD,9510077,,,,,"16,133"
Grant - OpenStax,https://www.crunchbase.com/funding_round/openstax-grant--e11bd3d3,OpenStax,https://www.crunchbase.com/organization/openstax,Grant,90000000,USD,90000000,2024-04-23,,No,,,,"Free your mind. • Putting high quality, flexible and free educational materials at your fingertips.","E-Learning, Education, Machine Learning",,"Houston, Texas, United States, North America",https://openstax.org/,,,1,90000000,USD,90000000,National Science Foundation,National Science Foundation,1,1,"16,526"
Debt Financing - Elm,https://www.crunchbase.com/funding_round/elm-a940-debt-financing--9bc98983,Elm,https://www.crunchbase.com/organization/elm-a940,Debt Financing,500000000,SAR,133313887,2023-09-11,,No,,,,Elm offer a wide range of ready-made and customized digital solutions in many areas.,"Information Services, Information Technology, Predictive Analytics, Software",,"Riyadh, Ar Riyad, Saudi Arabia, Asia",https://www.elm.sa/,$1B to $10B,,1,500000000,SAR,133313887,Al-Rajhi Bank,Al-Rajhi Bank,1,,"16,662"
Seed Round - Loop AI - Delivery Intelligence Platform,https://www.crunchbase.com/funding_round/loop-delivery-intelligence-platform-seed--27c10169,Loop AI - Delivery Intelligence Platform,https://www.crunchbase.com/organization/loop-delivery-intelligence-platform,Seed,6000000,USD,6000000,2024-03-12,Seed,Yes,,,,A co-pilot for modern food brands,"Artificial Intelligence (AI), Enterprise Software, Machine Learning, SaaS",,"San Francisco, California, United States, North America",https://tryloop.ai/,,Seed,2,6000000,USD,6000000,Base10 Partners,"Afore Capital, Base10 Partners, Nkechi Iregbulem",3,,"16,672"
Funding Round - Vi Labs,https://www.crunchbase.com/funding_round/vi-558e-undisclosed--520f5941,Vi Labs,https://www.crunchbase.com/organization/vi-558e,Funding Round,111000000,USD,111000000,2024-06-28,,Yes,,,,VI is the leading Enterprise-AI platform in the health sector.,"Artificial Intelligence (AI), Fitness, Health Care, Information Technology, Life Science, Pharmaceutical, Software, Web Development, Wellness",,"New York, New York, United States, North America",https://vi.co/,$100M to $500M,,6,149665676,USD,149665676,General Atlantic,"Alpha Partners, General Atlantic, Savano Capital Partners",3,,"17,108"
Seed Round - Fibr,https://www.crunchbase.com/funding_round/fibr-ed69-seed--cff8535e,Fibr,https://www.crunchbase.com/organization/fibr-ed69,Seed,2000000,USD,2000000,2023-06-24,Seed,Yes,,,,Fibr is an AI-powered personalization platform that helps brands improve conversion rates.,"A/B Testing, Artificial Intelligence (AI), Information Technology, Marketing Automation, Personalization",,"Dover, Delaware, United States, North America",https://fibr.ai/,,Seed,2,3800000,USD,3800000,Accel,"Accel, Sprint Vc",2,,"17,620"
Grant - Wave Photonics,https://www.crunchbase.com/funding_round/wave-photonics-grant--777c9770,Wave Photonics,https://www.crunchbase.com/organization/wave-photonics,Grant,50000,USD,50000,2022-06-29,,No,,,,Wave Photonics utilizes computational techniques to accelerate integrated photonics product designs.,"Data Integration, Predictive Analytics, Software",,"Cambridge, Cambridgeshire, United Kingdom, Europe",https://www.wavephotonics.com/,,Seed,4,5742592,USD,5742592,Duality,Duality,1,,"17,975"
Series A - PredictAP,https://www.crunchbase.com/funding_round/predictap-series-a--419530f9,PredictAP,https://www.crunchbase.com/organization/predictap,Series A,8000000,USD,8000000,2024-01-17,Early Stage Venture,Yes,,,,PredictAP is a Fintech startup using AI to automate accounts payable and payment processing for large real estate investment companies,"FinTech, Internet, Machine Learning, Software",Women Founded,"Chestnut Hill, Massachusetts, United States, North America",https://predictap.com/,$1M to $10M,Early Stage Venture,1,8000000,USD,8000000,RET Ventures,"RET Ventures, WISE Ventures",2,1,"19,359"
Private Equity Round - Trianz,https://www.crunchbase.com/funding_round/trianz-private-equity--de32361d,Trianz,https://www.crunchbase.com/organization/trianz,Private Equity,,,,2024-02-21,Private Equity,Yes,,,,Accelerating Digital Evolution,"Analytics, Artificial Intelligence (AI), Big Data, Business Intelligence, Cloud Infrastructure, Collaboration, Cyber Security, Generative AI, Mobile Apps, Test and Measurement",,"Santa Clara, California, United States, North America",https://www.trianz.com,$100M to $500M,Private Equity,3,14000000,USD,14000000,Capital Square Partners,Capital Square Partners,1,2,"19,851"
