Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,CB Rank (Funding Round),Organization Industries,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,Diversity Spotlight
Venture Round - NewHeat,https://www.crunchbase.com/funding_round/newheat-series-unknown--f1c3ca6b,NewHeat,https://www.crunchbase.com/organization/newheat,Venture - Series Unknown,15000000,EUR,16828444,2020-01-01,"381,565","Machinery Manufacturing, Solar",,,,,Yes,NewHeat owns and operates solar heat plants.,"Bègles, Aquitaine, France, Europe",http://newheat.fr/,,53800000,EUR,59641780,,4,,,,,
Debt Financing - Eklo Hotels,https://www.crunchbase.com/funding_round/eklo-hotels-debt-financing--b46f6ef1,Eklo Hotels,https://www.crunchbase.com/organization/eklo-hotels,Debt Financing,15000000,EUR,16386906,2023-04-17,"550,196","Hospitality, Hotel, Restaurants",,,,,No,Eklo Hotels is independent french group provides eco-friendly hotel services.,"Bordeaux, Aquitaine, France, Europe",https://www.eklohotels.com,$10M to $50M,50000000,EUR,54623019,,2,Banque des Territoires,Banque des Territoires,1,1,
Series A - Naïo Technologies,https://www.crunchbase.com/funding_round/naio-technologies-series-a--3cb9354b,Naïo Technologies,https://www.crunchbase.com/organization/naio-technologies,Series A,14000000,EUR,15553084,2020-01-09,"617,073","Agriculture, Artificial Intelligence (AI), Farming, Machine Learning, Robotics, Software",Early Stage Venture,,,,Yes,Naïo Technologies develops and markets robots for agriculture and viticulture.,"Escalquens, Midi-Pyrenees, France, Europe",http://www.naio-technologies.com,$1M to $10M,51500775,EUR,55648652,Early Stage Venture,5,Bpifrance,"Bpifrance, Capagro, Demeter Partners, Pymwymic",,4,
Private Equity Round - HelloAsso,https://www.crunchbase.com/funding_round/helloasso-private-equity--ed010c94,HelloAsso,https://www.crunchbase.com/organization/helloasso,Private Equity,15000000,EUR,15369750,2022-11-21,"522,722","Communities, Crowdfunding, Financial Services, Funding Platform",Private Equity,,,,Yes,HelloAsso is the free solution for associations and clubs to receive payments over the Internet.,"Bordeaux, Aquitaine, France, Europe",https://www.helloasso.com/,$10M to $50M,22000000,EUR,23748612,Private Equity,4,,"Credit Mutuel, Crédit Mutuel Equity",,2,
Series C - FineHeart,https://www.crunchbase.com/funding_round/fineheart-series-c--462a280f,FineHeart,https://www.crunchbase.com/organization/fineheart,Series C,15000000,EUR,14648480,2022-10-19,"101,940","Biotechnology, Health Care, Medical, Medical Device",Late Stage Venture,,,,Yes,FineHeart is a medical device company,"Bordeaux, Aquitaine, France, Europe",http://fineheart.fr,$1M to $10M,44910000,EUR,49936484,Late Stage Venture,4,European Innovation Council,European Innovation Council,,1,
Grant - Aura Aero,https://www.crunchbase.com/funding_round/aura-aero-grant--0acddb8d,Aura Aero,https://www.crunchbase.com/organization/aura-aero,Grant,13200000,EUR,14375170,2024-03-15,"175,966","Aerospace, Automotive, Industrial Automation",,,,,No,AURA AERO aims to serve mankind by designing and manufacturing aircraft that accelerate air transport decarbonization,"Cugnaux, Midi-Pyrenees, France, Europe",https://www.aura-aero.com,$10M to $50M,194291937,USD,194291937,Seed,7,France 2030,France 2030,,1,
Series A - TLS GEOTHERMICS,https://www.crunchbase.com/funding_round/tls-geothermics-series-a--883c2b0a,TLS GEOTHERMICS,https://www.crunchbase.com/organization/tls-geothermics,Series A,13300000,EUR,13472106,2022-09-12,"156,114",Geothermal Energy,Early Stage Venture,,,,Yes,Geothermal developer - Baseload renewable energy,"Toulouse, Midi-Pyrenees, France, Europe",https://www.tls-geothermics.com,,13500000,EUR,13692407,Early Stage Venture,2,,,,,
Grant - Ascendance,https://www.crunchbase.com/funding_round/ascendance-flight-technologies-grant--855938b1,Ascendance,https://www.crunchbase.com/organization/ascendance-flight-technologies,Grant,12600000,EUR,13442265,2023-03-01,"189,100","Aerospace, Air Transportation, CleanTech, Drones, Hardware, Transportation",,,,,No,A sustainable aviation startup developing hybrid-electric solutions to decarbonise aviation.,"Toulouse, Midi-Pyrenees, France, Europe",https://www.ascendance-ft.com,$1M to $10M,51000000,EUR,55944186,,9,,France 2030,,1,
Venture Round - Aura Aero,https://www.crunchbase.com/funding_round/aura-aero-series-unknown--f97645f4,Aura Aero,https://www.crunchbase.com/organization/aura-aero,Venture - Series Unknown,12360000,EUR,13257948,2022-12-31,"193,920","Aerospace, Automotive, Industrial Automation",,,,,Yes,AURA AERO aims to serve mankind by designing and manufacturing aircraft that accelerate air transport decarbonization,"Cugnaux, Midi-Pyrenees, France, Europe",https://www.aura-aero.com,$10M to $50M,194291937,USD,194291937,Seed,7,,,,,
Series A - I-ROX,https://www.crunchbase.com/funding_round/i-rox-series-a--b8a28344,I-ROX,https://www.crunchbase.com/organization/i-rox,Series A,12000000,EUR,12295800,2022-11-21,"25,274","Information Technology, Software",Early Stage Venture,,,,Yes,I-ROX developed a model for recruiting the most outstanding programmers in the market and built a project management methodology.,"Toulouse, Midi-Pyrenees, France, Europe",https://www.i-rox.net/,,12000000,EUR,12295800,Early Stage Venture,1,Breakthrough Energy Ventures,Breakthrough Energy Ventures,1,1,
Series A - CarbonWorks,https://www.crunchbase.com/funding_round/carbonworks-series-a--bd26fab8,CarbonWorks,https://www.crunchbase.com/organization/carbonworks,Series A,11000000,EUR,12245420,2022-03-01,"151,009",Biotechnology,Early Stage Venture,,,,Yes,CarbonWorks is specialising in the use of microalgae to capture and utilise carbon dioxide.,"Libourne, Aquitaine, France, Europe",https://carbonworks.bio/,$1M to $10M,11000000,EUR,12245420,Early Stage Venture,1,"AQUITI Gestion, BNP Paribas, Bpifrance, Demeter","AQUITI Gestion, BNP Paribas, Bpifrance, Demeter, Fermentalg, SUEZ Environnement",1,6,
Venture Round - Rediv,https://www.crunchbase.com/funding_round/patatam-series-unknown--cd8ae479,Rediv,https://www.crunchbase.com/organization/patatam,Venture - Series Unknown,12000000,EUR,12203369,2022-07-07,"443,431","E-Commerce, Fashion, Retail, Shopping",,,,,Yes,Rediv is a leading european online shop to buy and sell like-new kids' clothing.,"Bayonne, Aquitaine, France, Europe",https://rediv.com/en,$1M to $10M,25734119,USD,25734119,,5,Creas,"Colam Impact, Creas, Quadia",,3,
Grant - Aura Aero,https://www.crunchbase.com/funding_round/aura-aero-grant--5e20abcc,Aura Aero,https://www.crunchbase.com/organization/aura-aero,Grant,12100000,USD,12100000,2024-07-15,"175,972","Aerospace, Automotive, Industrial Automation",,,,,No,AURA AERO aims to serve mankind by designing and manufacturing aircraft that accelerate air transport decarbonization,"Cugnaux, Midi-Pyrenees, France, Europe",https://www.aura-aero.com,$10M to $50M,194291937,USD,194291937,Seed,7,,Bpifrance,,1,
Series A - api.video,https://www.crunchbase.com/funding_round/api-video-series-a--fb5bb744,api.video,https://www.crunchbase.com/organization/api-video,Series A,12000000,USD,12000000,2022-12-13,"509,626","Developer Platform, Enterprise Software, Video Streaming",Early Stage Venture,,,,Yes,Building the backbone of online video,"Bordeaux, Aquitaine, France, Europe",https://api.video,$1B to $10B,18360000,USD,18360000,Early Stage Venture,4,MMC Ventures,"Blossom Capital, Financiere Saint James, MMC Ventures, OpenOcean",2,4,
Series A - TOOPI Organics,https://www.crunchbase.com/funding_round/toopi-organics-series-a--8b9f276e,TOOPI Organics,https://www.crunchbase.com/organization/toopi-organics,Series A,11000000,EUR,11828529,2023-09-12,"449,093","Agriculture, Biotechnology, Chemical",Early Stage Venture,,,,Yes,TOOPI Organics is a biotechnology company that collects and upcycles human urine for agriculture.,"Loupiac-de-la-réole, Aquitaine, France, Europe",https://toopi-organics.com/,$1M to $10M,23200000,EUR,25409028,Early Stage Venture,6,Clay Capital,"BNP Paribas, Clay Capital, Edaphon, IRDI SORIDEC Gestion, Johes, MAIF Impact, MakeSense, Meusinvest (Noshaq)",1,8,
Grant - Agronutris,https://www.crunchbase.com/funding_round/agronutris-grant--065f997b,Agronutris,https://www.crunchbase.com/organization/agronutris,Grant,10000000,EUR,11574503,2021-09-30,"362,577","Biotechnology, Farming, Life Science, Organic Food",,,,,No,Agronutris is a biotech company involved in the breeding and processing of insects for food.,"Saint-orens-de-gameville, Midi-Pyrenees, France, Europe",https://www.agronutris.com/en/,$1M to $10M,100000000,EUR,115852990,,3,,,,,
Series B - Micropep Technologies,https://www.crunchbase.com/funding_round/micropep-technologies-series-b--f1fd8562,Micropep Technologies,https://www.crunchbase.com/organization/micropep-technologies,Series B,11000000,USD,11000000,2024-09-26,"14,975","Agriculture, Biotechnology, Chemical, Lead Generation",Early Stage Venture,,,,Yes,Micropep Technologies is a biotech company that focused on biological alternatives to agrochemicals.,"Ramonville-saint-agne, Midi-Pyrenees, France, Europe",http://micro-pep.com/,$1M to $10M,64591847,USD,64591847,Early Stage Venture,5,Sparkfood,"Corteva Agriscience, Sparkfood",2,2,
Series A - inHEART,https://www.crunchbase.com/funding_round/inheart-series-a--88c05744,inHEART,https://www.crunchbase.com/organization/inheart,Series A,11000000,USD,11000000,2024-05-06,"20,667","3D Technology, Biotechnology, Medical Device",Early Stage Venture,,,,Yes,inHEART provides cloud-based medical image analysis solutions for cardiac interventions on patients with arrhythmias.,"Pessac, Aquitaine, France, Europe",https://www.inheartmedical.com,$1B to $10B,15969211,USD,15969211,Early Stage Venture,3,"Elaia, Vesalius Biocapital Partners","CWR Funds, Elaia, NACO, SAGANA, Sofia Angels Ventures, Vesalius Biocapital Partners, Webit Investment Network",2,7,
Series A - Axonaut,https://www.crunchbase.com/funding_round/axonaut-series-a--0ad84583,Axonaut,https://www.crunchbase.com/organization/axonaut,Series A,10000000,EUR,10512053,2022-12-07,"13,611",Financial Services,Early Stage Venture,,,,Yes,"All inclusive SaaS tool for entrepreneurs, one price, CRM+quotations+invoices+bank+expenses+API","Labège, Midi-Pyrenees, France, Europe",https://axonaut.com?utm_campaign=crunchbase,Less than $1M,10600000,EUR,11189303,Early Stage Venture,2,The Moon Venture,"Bpifrance, Matmut Innovation, The Moon Venture",,3,
Seed Round - Aviwell,https://www.crunchbase.com/funding_round/aviwell-seed--9c9e6be6,Aviwell,https://www.crunchbase.com/organization/aviwell,Seed,9000000,EUR,10105581,2023-07-18,"281,437","AgTech, Biotechnology, Health Care",Seed,,,,Yes,"Developing healthy, natural, sustainable solutions to improve animal growth and nourish the planet","Toulouse, Midi-Pyrenees, France, Europe",https://aviwell.fr/,$1M to $10M,13100000,EUR,14602964,Seed,4,"Elaia, MFS Investment Management","Elaia, MFS Investment Management",2,2,
Series A - Micropep Technologies,https://www.crunchbase.com/funding_round/micropep-technologies-series-a--64aa77de,Micropep Technologies,https://www.crunchbase.com/organization/micropep-technologies,Series A,8500000,EUR,10069444,2021-07-08,"353,326","Agriculture, Biotechnology, Chemical, Lead Generation",Early Stage Venture,,,,Yes,Micropep Technologies is a biotech company that focused on biological alternatives to agrochemicals.,"Ramonville-saint-agne, Midi-Pyrenees, France, Europe",http://micro-pep.com/,$1M to $10M,64591847,USD,64591847,Early Stage Venture,5,Supernova Invest,"FMC Ventures, IRDI, Sofinnova Partners, Supernova Invest",4,4,
Venture Round - ID&AL Groupe,https://www.crunchbase.com/funding_round/ideal-groupe-series-unknown--b6bccb22,ID&AL Groupe,https://www.crunchbase.com/organization/ideal-groupe,Venture - Series Unknown,10000000,EUR,9971253,2022-09-20,"143,697","Commercial, Real Estate",,,,,Yes,ID&AL Groupe is a real estate development company.,"Bordeaux, Aquitaine, France, Europe",https://www.ideal-groupe.com/,$1B to $10B,10000000,EUR,9971253,,1,,"Epopée Gestion, Inter Invest",2,2,
Series A - Satelia,https://www.crunchbase.com/funding_round/satelia-series-a--013fa957,Satelia,https://www.crunchbase.com/organization/satelia,Series A,10000000,EUR,9962154,2022-10-25,"19,209","Application Performance Management, Apps, Health Care, Medical, Medical Device",Early Stage Venture,,,,Yes,Remote patient monitoring for chronic disease,"Bordeaux, Aquitaine, France, Europe",https://satelia.eu,$1M to $10M,10000000,EUR,9962154,Early Stage Venture,1,Impact Partners Nordic,Impact Partners Nordic,,1,
Seed Round - Neat,https://www.crunchbase.com/funding_round/neat-f0bf-seed--a124c941,Neat,https://www.crunchbase.com/organization/neat-f0bf,Seed,10000000,EUR,9860601,2022-10-21,"352,328","Financial Services, Insurance",Seed,,,,Yes,Neat is an InsurTech startup that provides retailers with embedded insurance solutions.,"Bordeaux, Aquitaine, France, Europe",https://www.neat.eu,,60000000,EUR,64962241,Early Stage Venture,3,Octopus Ventures,"Alma Mundi Ventures, Founders Future, NewAlpha Asset Management VC, Octopus Ventures, Purple",3,5,
Series A - Micropep Technologies,https://www.crunchbase.com/funding_round/micropep-technologies-series-a--1ee8d810,Micropep Technologies,https://www.crunchbase.com/organization/micropep-technologies,Series A,8750000,EUR,9257388,2022-06-27,"507,438","Agriculture, Biotechnology, Chemical, Lead Generation",Early Stage Venture,,,,Yes,Micropep Technologies is a biotech company that focused on biological alternatives to agrochemicals.,"Ramonville-saint-agne, Midi-Pyrenees, France, Europe",http://micro-pep.com/,$1M to $10M,64591847,USD,64591847,Early Stage Venture,5,Fall Line Capital,"Fall Line Capital, FMC Ventures, IRDI, Sofinnova Partners, Supernova Invest",5,5,
Seed Round - REEV,https://www.crunchbase.com/funding_round/reev-3949-seed--2ee4b2d5,REEV,https://www.crunchbase.com/organization/reev-3949,Seed,9200000,USD,9200000,2025-02-06,114,"Assistive Technology, Health Care, Medical Device, Robotics",Seed,,,,Yes,REEV is reinventing mobility care for millions with walking disorders through cutting-edge wearable robotics and AI,"Toulouse, Midi-Pyrenees, France, Europe",https://reev.care/,,12576548,USD,12576548,Seed,3,"IRDI, Newfund, Polytechnique Ventures","Herve Silbert, IRDI, Newfund, Polytechnique Ventures, Raphaël Varane, Scala Patrimoine",1,6,
Venture Round - Yooji,https://www.crunchbase.com/funding_round/yooji-series-unknown--06097f7b,Yooji,https://www.crunchbase.com/organization/yooji,Venture - Series Unknown,7500000,EUR,8881647,2020-09-15,"131,848","E-Commerce, Food and Beverage, Food Processing, Health Care, Organic Food",,,,,Yes,Yooji offers delicious meals in frozen portions for babies.,"Bordeaux, Aquitaine, France, Europe",https://www.yooji.fr/,$1B to $10B,19322850,USD,19322850,,5,,"Capagro, Caravelle SA, Danone Manifesto Venture, DS Participation, Pymwymic",3,5,
Funding Round - Cell-Easy,https://www.crunchbase.com/funding_round/cell-easy-undisclosed--59891c7b,Cell-Easy,https://www.crunchbase.com/organization/cell-easy,Funding Round,7800000,EUR,8747199,2022-02-28,"159,201","Biotechnology, Health Care",,,,,Yes,Cell-Easy is a CDMO that specializes in preclinical and clinical drug development.,"Toulouse, Midi-Pyrenees, France, Europe",http://cell-easy.com,$1M to $10M,7800000,EUR,8747199,,1,Bpifrance,Bpifrance,,1,
Series A - Rediv,https://www.crunchbase.com/funding_round/patatam-series-a--eed7e208,Rediv,https://www.crunchbase.com/organization/patatam,Series A,6060000,GBP,8549179,2021-05-19,"169,846","E-Commerce, Fashion, Retail, Shopping",Early Stage Venture,,,,Yes,Rediv is a leading european online shop to buy and sell like-new kids' clothing.,"Bayonne, Aquitaine, France, Europe",https://rediv.com/en,$1M to $10M,25734119,USD,25734119,,5,,"Colam Impact, Creas, Quadia, Volta Circle",,4,
Series A - Ejara,https://www.crunchbase.com/funding_round/ejara-series-a--00ffc396,Ejara,https://www.crunchbase.com/organization/ejara,Series A,8000000,USD,8000000,2022-11-28,"79,061","Cryptocurrency, Financial Services",Early Stage Venture,,,,Yes,"Ejara is an app for Africa and its diasporas to access various investment offers fractional shares, commodities, cryptocurrency, and more.","Bordeaux, Aquitaine, France, Europe",https://www.ejara.io/,$1M to $10M,10000000,USD,10000000,Early Stage Venture,4,"Anthemis, Dragonfly","Anthemis, Bpifrance, Circle Ventures, CoinShares, Dragonfly, EMURGO, HashKey Capital, Jason Yanowitz, Lateral Frontiers, Mercy Corps Ventures, Moonstake",3,11,
Series A - Synapse Medicine,https://www.crunchbase.com/funding_round/synapse-medicine-series-a--a9d26bb9,Synapse Medicine,https://www.crunchbase.com/organization/synapse-medicine,Series A,8000000,USD,8000000,2020-07-06,"515,079","Health Care, Medical, Medical Device, Pharmaceutical, Software",Early Stage Venture,,,,Yes,Synapse Medicine provides medication decision solutions to deliver enhanced patient-centered insights for care teams.,"Bordeaux, Aquitaine, France, Europe",https://synapse-medicine.com/,$10M to $50M,38669110,USD,38669110,Early Stage Venture,3,MACSF,"BNP Paribas, Bpifrance, MACSF, Nicolas Dessaigne, XAnge",2,5,
Venture Round - NewHeat,https://www.crunchbase.com/funding_round/newheat-series-unknown--8c088fc0,NewHeat,https://www.crunchbase.com/organization/newheat,Venture - Series Unknown,7000000,EUR,7931014,2021-11-30,"416,381","Machinery Manufacturing, Solar",,,,,Yes,NewHeat owns and operates solar heat plants.,"Bègles, Aquitaine, France, Europe",http://newheat.fr/,,53800000,EUR,59641780,,4,Bpifrance,Bpifrance,1,1,
Grant - Look Up Space,https://www.crunchbase.com/funding_round/look-up-space-grant--936eee4b,Look Up Space,https://www.crunchbase.com/organization/look-up-space,Grant,7000000,EUR,7694168,2023-06-21,"394,604","Cyber Security, Network Security",,,,,No,"Look Up Space provide space safety and security data & services of unprecedented quality, with a sovereign and secure sensor network.","Toulouse, Midi-Pyrenees, France, Europe",https://www.lookupspace.com,$1M to $10M,14000000,EUR,15388336,Seed,3,,"France 2030, La French Tech",,2,
Seed Round - Look Up Space,https://www.crunchbase.com/funding_round/look-up-space-seed--58dc5847,Look Up Space,https://www.crunchbase.com/organization/look-up-space,Seed,7000000,EUR,7694168,2023-06-21,"369,006","Cyber Security, Network Security",Seed,,,,Yes,"Look Up Space provide space safety and security data & services of unprecedented quality, with a sovereign and secure sensor network.","Toulouse, Midi-Pyrenees, France, Europe",https://www.lookupspace.com,$1M to $10M,14000000,EUR,15388336,Seed,3,"Karista, MIG Capital","Expansion Ventures, Greg Wyler, Hélène Huby, Jean Baptiste Djebbari, Karista, MIG Capital",3,6,
Venture Round - Yescapa,https://www.crunchbase.com/funding_round/yescapa-series-unknown--1cebc0dd,Yescapa,https://www.crunchbase.com/organization/yescapa,Venture - Series Unknown,7000000,EUR,7556490,2023-08-25,"331,231","Apps, Internet, Outdoors, Sharing Economy",,,,,Yes,"Yescapa is a platform that makes it simple and secure to rent motorhomes, vans, and converted vans between individuals.","Bordeaux, Aquitaine, France, Europe",https://www.yescapa.com,$1M to $10M,10550000,EUR,11532934,,3,IXO Private Equity,"IXO Private Equity, MAIF Avenir, No Such Ventures",,3,
Funding Round - Ascendance,https://www.crunchbase.com/funding_round/ascendance-flight-technologies-undisclosed--34d56ea8,Ascendance,https://www.crunchbase.com/organization/ascendance-flight-technologies,Funding Round,7000000,EUR,7502511,2024-05-01,"64,743","Aerospace, Air Transportation, CleanTech, Drones, Hardware, Transportation",,,,,Yes,A sustainable aviation startup developing hybrid-electric solutions to decarbonise aviation.,"Toulouse, Midi-Pyrenees, France, Europe",https://www.ascendance-ft.com,$1M to $10M,51000000,EUR,55944186,,9,,Bpifrance,,1,
Seed Round - Stellar,https://www.crunchbase.com/funding_round/stellar-58db-seed--f4221d07,Stellar,https://www.crunchbase.com/organization/stellar-58db,Seed,6800000,EUR,7463334,2024-10-08,"6,758","Automotive, Internet, Software, Telecommunications",Seed,,,,Yes,Stellar is a telecommunications company that integrates multiple networks for connectivity.,"Bordeaux, Aquitaine, France, Europe",https://www.stellar.tc,,9300000,EUR,10137306,Seed,3,Elewit,"Alchimia Investments, Elewit, Primo Capital",3,3,
Seed Round - Omada,https://www.crunchbase.com/funding_round/omada-ec56-seed--9554cd3b,Omada,https://www.crunchbase.com/organization/omada-ec56,Seed,7100000,EUR,7458767,2023-09-27,"63,920","Gambling, Gaming, Mobile Apps, Online Games",Seed,,,,Yes,Omada is a sports-gambling gaming company.,"Bordeaux, Aquitaine, France, Europe",https://www.omadagame.com/,,7100000,EUR,7458767,Seed,1,Felix Capital,"Akin Babayigit, Athletico Ventures, Claire Valoti, F4, Felix Capital, Iris Alameddine, Maria Raga, Motier Ventures, Pareto Holdings, Pat Cummins, Paul Le, Pierre-Antoine Capton, Play Ventures, The Twenty Minute VC, Xavier Niel, Youri Djorkaeff",4,16,
Seed Round - Ternoa,https://www.crunchbase.com/funding_round/ternoa-seed--010618b9,Ternoa,https://www.crunchbase.com/organization/ternoa,Seed,7300000,USD,7300000,2022-09-15,"279,535","Apps, Blockchain, Cryptocurrency, Network Security, Non-Fungible Token (NFT), Open Source",Seed,,,,Yes,"Ternoa offers Blockchain technology to transfer data securely, anonymously, and without alienation nor intermediaries.","Biarritz, Aquitaine, France, Europe",https://www.ternoa.network/,$1M to $10M,7300000,USD,7300000,Seed,3,,"Digital Finance Group (DFG), Omnes Capital",,2,
