"id","id2","x","y","color","parent","size"
"Tees Valley and Durham",240,-1.6734,-54.6687,"red","UK",1
"Northumberland and Tyne and Wear",241,-2.0838,-55.2683,"red","UK",1
"Cumbria",242,-2.8996,-54.5909,"red","UK",1
"Greater Manchester",243,-2.3133,-53.5078,"red","UK",1
"Lancashire",244,-2.6067,-53.8919,"red","UK",1
"Cheshire",245,-2.5237,-53.207,"red","UK",1
"Merseyside",246,-2.8119,-53.4032,"red","UK",1
"East Yorkshire and Northern Lincolnshire",247,-0.4245,-53.8002,"red","UK",1
"North Yorkshire",248,-1.2888,-54.2206,"red","UK",1
"South Yorkshire",249,-1.3089,-53.4469,"red","UK",1
"West Yorkshire",250,-1.6933,-53.7389,"red","UK",1
"Derbyshire and Nottinghamshire",251,-1.2859,-53.0563,"red","UK",1
"Leicestershire, Rutland and Northamptonshire",252,-0.8329,-52.5162,"red","UK",1
"Lincolnshire",253,-0.2277,-53.1106,"red","UK",1
"Herefordshire, Worcestershire and Warwickshire",254,-2.1517,-52.2207,"red","UK",1
"Shropshire and Staffordshire",255,-2.4981,-52.6589,"red","UK",1
"West Midlands",256,-1.9316,-52.5163,"red","UK",1
"East Anglia",257,0.7987,-52.4309,"red","UK",1
"Bedfordshire and Hertfordshire",258,-0.2961,-51.9468,"red","UK",1
"Essex",259,0.5526,-51.7734,"red","UK",1
"Inner London",260,-0.0895,-51.558,"red","UK",1
"Outer London",261,-0.437,-51.5136,"red","UK",1
"Berkshire, Buckinghamshire and Oxfordshire",262,-1.1004,-51.6706,"red","UK",1
"Surrey, East and West Sussex",263,-0.0744,-51.043,"red","UK",1
"Hampshire and Isle of Wight",264,-1.3378,-51.1004,"red","UK",1
"Kent",265,0.7627,-51.1863,"red","UK",1
"Gloucestershire, Wiltshire and Bristol/Bath area",266,-2.1452,-51.5027,"red","UK",1
"Dorset and Somerset",267,-2.7644,-50.9899,"red","UK",1
"Cornwall and Isles of Scilly",268,-4.9737,-50.3556,"red","UK",1
"Devon",269,-3.896,-50.6696,"red","UK",1
"West Wales and The Valleys",270,-4.0236,-52.2724,"red","UK",1
"East Wales",271,-3.3085,-52.0391,"red","UK",1
"Northern Ireland",272,-6.6632,-54.7372,"red","UK",1
"Eastern Scotland",273,-3.4128,-56.2136,"red","UK",1
"South Western Scotland",274,-4.1161,-55.3274,"red","UK",1
"North Eastern Scotland",275,-2.4181,-57.3209,"red","UK",1
"Highlands and Islands",276,-4.6829,-57.5183,"red","UK",1
"Ionia Nisia",277,20.4388,-38.6145,"springgreen","EL",1
"Voreio Aigaio",278,26.1153,-38.7867,"springgreen","EL",1
"Notio Aigaio",279,26.3314,-36.7465,"springgreen","EL",1
"Åland",280,20.1537,-60.2189,"grey","FI",1
"Kontinentalna Hrvatska",281,16.6321,-45.7035,"yellowgreen","HR",1
